,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,2021-10-20,33-016,NYK,,BOS,W (+4),0,22:28,3,11,.273,1,3,.333,2,2,1.000,0,4,4,5,2,1,2,0,9,7.9,+7
1,2,2,2021-10-22,33-018,NYK,@,ORL,W (+25),0,23:34,4,8,.500,4,6,.667,0,0,,0,0,0,7,0,0,0,1,12,12.5,+34
2,3,3,2021-10-24,33-020,NYK,,ORL,L (-6),0,28:38,9,16,.563,5,8,.625,0,1,.000,3,2,5,3,2,0,2,0,23,19.8,+8
3,4,4,2021-10-26,33-022,NYK,,PHI,W (+13),0,19:50,4,7,.571,1,2,.500,4,4,1.000,2,1,3,1,1,1,2,1,13,11.4,+10
4,5,5,2021-10-28,33-024,NYK,@,CHI,W (+1),0,18:35,5,10,.500,1,3,.333,1,1,1.000,0,4,4,1,0,0,2,1,12,6.5,+1
5,6,6,2021-10-30,33-026,NYK,@,NOP,W (+6),0,15:25,2,6,.333,1,2,.500,0,0,,0,1,1,1,0,0,1,0,5,1.6,-1
6,7,7,2021-11-01,33-028,NYK,,TOR,L (-9),0,19:36,2,8,.250,0,2,.000,0,0,,0,1,1,1,1,0,2,1,4,-1.2,+7
7,8,8,2021-11-03,33-030,NYK,@,IND,L (-13),0,19:47,5,11,.455,0,1,.000,3,3,1.000,1,1,2,3,1,1,2,1,13,9.7,-2
8,9,9,2021-11-05,33-032,NYK,@,MIL,W (+15),0,30:25,10,18,.556,2,6,.333,1,1,1.000,2,6,8,4,2,0,0,0,23,22.4,+31
9,10,10,2021-11-07,33-034,NYK,,CLE,L (-17),1,28:58,8,14,.571,1,2,.500,0,0,,0,1,1,5,1,0,0,0,17,15.2,-20
10,11,11,2021-11-08,33-035,NYK,@,PHI,W (+7),0,20:44,2,8,.250,0,2,.000,2,2,1.000,1,3,4,2,1,0,3,0,6,2.2,+10
11,12,12,2021-11-10,33-037,NYK,,MIL,L (-12),0,29:47,8,15,.533,6,8,.750,0,0,,1,2,3,7,3,1,0,0,22,24.6,+10
12,13,13,2021-11-12,33-039,NYK,@,CHO,L (-8),0,17:24,3,6,.500,1,3,.333,1,1,1.000,0,1,1,2,0,0,1,0,8,5.7,+15
13,14,14,2021-11-15,33-042,NYK,,IND,W (+8),0,24:33,7,14,.500,0,4,.000,0,0,,1,4,5,7,0,0,1,0,14,12.8,+21
14,15,15,2021-11-17,33-044,NYK,,ORL,L (-6),0,19:01,4,9,.444,2,6,.333,0,0,,0,2,2,1,1,2,5,0,10,4.0,-11
15,16,16,2021-11-20,33-047,NYK,,HOU,W (+7),0,20:56,2,8,.250,0,2,.000,0,0,,0,1,1,4,1,2,1,1,4,3.3,-5
16,17,17,2021-11-21,33-048,NYK,@,CHI,L (-6),0,30:02,3,11,.273,1,2,.500,2,2,1.000,1,1,2,3,1,3,0,4,9,7.1,-2
17,18,,2021-11-23,33-050,NYK,,LAL,W (+6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
18,19,,2021-11-26,33-053,NYK,,PHO,L (-21),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
