,Date,Tm,Opp,GS,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Game Played,Match Result,Points,Minutes Played,Seconds Played
0,2021-10-20,NYK,BOS,0,3,11,.273,1,3,.333,2,2,1.000,0,4,4,5,2,1,2,0,9,7.9,+7,Yes,W ,+4,22,28
1,2021-10-22,NYK,ORL,0,4,8,.500,4,6,.667,0,0,,0,0,0,7,0,0,0,1,12,12.5,+34,Yes,W ,+25,23,34
2,2021-10-24,NYK,ORL,0,9,16,.563,5,8,.625,0,1,.000,3,2,5,3,2,0,2,0,23,19.8,+8,Yes,L ,-6,28,38
3,2021-10-26,NYK,PHI,0,4,7,.571,1,2,.500,4,4,1.000,2,1,3,1,1,1,2,1,13,11.4,+10,Yes,W ,+13,19,50
4,2021-10-28,NYK,CHI,0,5,10,.500,1,3,.333,1,1,1.000,0,4,4,1,0,0,2,1,12,6.5,+1,Yes,W ,+1,18,35
5,2021-10-30,NYK,NOP,0,2,6,.333,1,2,.500,0,0,,0,1,1,1,0,0,1,0,5,1.6,-1,Yes,W ,+6,15,25
6,2021-11-01,NYK,TOR,0,2,8,.250,0,2,.000,0,0,,0,1,1,1,1,0,2,1,4,-1.2,+7,Yes,L ,-9,19,36
7,2021-11-03,NYK,IND,0,5,11,.455,0,1,.000,3,3,1.000,1,1,2,3,1,1,2,1,13,9.7,-2,Yes,L ,-13,19,47
8,2021-11-05,NYK,MIL,0,10,18,.556,2,6,.333,1,1,1.000,2,6,8,4,2,0,0,0,23,22.4,+31,Yes,W ,+15,30,25
9,2021-11-07,NYK,CLE,1,8,14,.571,1,2,.500,0,0,,0,1,1,5,1,0,0,0,17,15.2,-20,Yes,L ,-17,28,58
10,2021-11-08,NYK,PHI,0,2,8,.250,0,2,.000,2,2,1.000,1,3,4,2,1,0,3,0,6,2.2,+10,Yes,W ,+7,20,44
11,2021-11-10,NYK,MIL,0,8,15,.533,6,8,.750,0,0,,1,2,3,7,3,1,0,0,22,24.6,+10,Yes,L ,-12,29,47
12,2021-11-12,NYK,CHO,0,3,6,.500,1,3,.333,1,1,1.000,0,1,1,2,0,0,1,0,8,5.7,+15,Yes,L ,-8,17,24
13,2021-11-15,NYK,IND,0,7,14,.500,0,4,.000,0,0,,1,4,5,7,0,0,1,0,14,12.8,+21,Yes,W ,+8,24,33
14,2021-11-17,NYK,ORL,0,4,9,.444,2,6,.333,0,0,,0,2,2,1,1,2,5,0,10,4.0,-11,Yes,L ,-6,19,01
15,2021-11-20,NYK,HOU,0,2,8,.250,0,2,.000,0,0,,0,1,1,4,1,2,1,1,4,3.3,-5,Yes,W ,+7,20,56
16,2021-11-21,NYK,CHI,0,3,11,.273,1,2,.500,2,2,1.000,1,1,2,3,1,3,0,4,9,7.1,-2,Yes,L ,-6,30,02
17,2021-11-23,NYK,LAL,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,No,W ,+6,00,00
18,2021-11-26,NYK,PHO,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,No,L ,-21,00,00
19,2021-11-27,NYK,ATL,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,No,W ,+9,00,00
21,2021-11-30,NYK,BRK,0,6,13,.462,2,6,.333,2,2,1.000,1,4,5,9,0,0,0,3,16,16.3,+11,Yes,L ,-2,34,41
22,2021-12-02,NYK,CHI,0,4,6,.667,0,1,.000,8,8,1.000,0,2,2,6,0,1,3,0,16,15.9,-14,Yes,L ,-4,26,19
23,2021-12-04,NYK,DEN,0,5,10,.500,1,5,.200,0,0,,2,2,4,4,0,0,4,0,11,6.8,-2,Yes,L ,-14,23,50
24,2021-12-07,NYK,SAS,0,4,11,.364,2,2,1.000,2,2,1.000,1,1,2,2,1,0,1,0,12,8.3,+8,Yes,W ,+12,21,40
25,2021-12-08,NYK,IND,0,4,10,.400,0,2,.000,0,0,,2,3,5,7,0,0,0,0,8,9.8,-9,Yes,L ,-20,23,37
26,2021-12-10,NYK,TOR,0,5,13,.385,1,3,.333,0,0,,2,4,6,4,0,0,3,0,11,6.3,+8,Yes,L ,-3,33,01
27,2021-12-12,NYK,MIL,1,8,16,.500,2,6,.333,0,0,,0,2,2,7,3,0,2,0,18,16.5,-7,Yes,L ,-15,36,31
28,2021-12-14,NYK,GSW,1,5,13,.385,3,4,.750,2,2,1.000,0,4,4,6,1,0,2,2,15,11.5,-10,Yes,L ,-9,34,17
29,2021-12-16,NYK,HOU,1,0,2,.000,0,1,.000,0,0,,1,0,1,1,0,0,0,0,0,0.0,-6,Yes,W ,+13,12,11
30,2021-12-18,NYK,BOS,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,No,L ,-7,00,00
31,2021-12-21,NYK,DET,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,No,W ,+14,00,00
32,2021-12-23,NYK,WAS,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,No,L ,-7,00,00
33,2021-12-25,NYK,ATL,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,No,W ,+14,00,00
34,2021-12-28,NYK,MIN,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,No,W ,+8,00,00
35,2021-12-29,NYK,DET,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,No,W ,+9,00,00
36,2021-12-31,NYK,OKC,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,No,L ,-15,00,00
37,2022-01-02,NYK,TOR,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,No,L ,-15,00,00
38,2022-01-04,NYK,IND,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,No,W ,+10,00,00
39,2022-01-06,NYK,BOS,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,No,W ,+3,00,00
40,2022-01-08,NYK,BOS,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,No,L ,-24,00,00
42,2022-01-10,NYK,SAS,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,No,W ,+15,00,00
43,2022-01-12,NYK,DAL,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,No,W ,+23,00,00
44,2022-01-15,NYK,ATL,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,No,W ,+9,00,00
45,2022-01-17,NYK,CHO,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,No,L ,-10,00,00
46,2022-01-18,NYK,MIN,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,No,L ,-2,00,00
47,2022-01-20,NYK,NOP,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,No,L ,-11,00,00
48,2022-01-23,NYK,LAC,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,No,W ,+8,00,00
49,2022-01-24,NYK,CLE,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,No,L ,-2,00,00
50,2022-01-26,NYK,MIA,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,No,L ,-14,00,00
51,2022-01-28,NYK,MIL,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,No,L ,-15,00,00
52,2022-01-31,NYK,SAC,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,No,W ,+20,00,00
53,2022-02-02,NYK,MEM,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,No,L ,-12,00,00
