,Date,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Match Result,Points
0,2016-10-25,NYK,CLE,1,29:35,7,17,.412,1,2,.500,2,2,1.000,2,1,3,1,0,1,4,1,17,6.6,-19,L ,-29
1,2016-10-29,NYK,MEM,1,32:16,6,13,.462,0,1,.000,1,2,.500,1,3,4,3,2,1,0,2,13,11.5,+7,W ,+7
2,2016-11-01,NYK,DET,1,31:41,8,17,.471,0,1,.000,3,3,1.000,1,4,5,2,0,1,2,0,19,12.3,-4,L ,-13
3,2016-11-02,NYK,HOU,1,29:44,8,18,.444,0,0,,0,0,,1,3,4,4,2,0,2,2,16,10.2,-15,L ,-19
4,2016-11-04,NYK,CHI,1,38:06,6,16,.375,0,0,,3,3,1.000,0,7,7,11,1,1,3,2,15,13.9,+12,W ,+13
5,2016-11-06,NYK,UTA,1,36:11,7,14,.500,0,0,,4,4,1.000,2,2,4,8,1,0,4,3,18,14.4,+1,L ,-5
6,2016-11-09,NYK,BRK,1,22:11,6,10,.600,1,1,1.000,1,2,.500,1,2,3,4,0,0,2,1,14,10.7,-10,W ,+14
7,2016-11-11,NYK,BOS,1,27:06,3,10,.300,1,3,.333,4,4,1.000,0,4,4,6,0,0,7,4,11,2.0,-10,L ,-28
8,2016-11-12,NYK,TOR,1,38:08,10,20,.500,0,3,.000,1,2,.500,2,2,4,4,0,0,4,0,21,11.4,0,L ,-11
9,2016-11-14,NYK,DAL,1,27:32,1,6,.167,0,1,.000,1,2,.500,0,4,4,5,0,0,5,4,3,-3.1,+20,W ,+16
10,2016-11-16,NYK,DET,1,34:19,7,15,.467,0,2,.000,1,2,.500,0,5,5,3,0,1,1,1,15,9.8,+2,W ,+3
11,2016-11-17,NYK,WAS,1,38:37,8,18,.444,3,5,.600,8,8,1.000,2,0,2,4,1,0,2,1,27,20.4,-8,L ,-7
12,2016-11-20,NYK,ATL,1,29:50,5,14,.357,0,2,.000,4,4,1.000,1,2,3,7,0,0,4,0,14,8.4,+12,W ,+10
13,2016-11-22,NYK,POR,1,28:05,8,15,.533,0,0,,2,2,1.000,2,2,4,5,2,1,1,4,18,16.3,-3,W ,+4
14,2016-11-25,NYK,CHO,1,38:07,6,13,.462,0,1,.000,4,5,.800,2,1,3,5,1,1,3,1,16,12.4,+7,W ,+2
15,2016-11-26,NYK,CHO,1,34:09,6,20,.300,1,3,.333,5,6,.833,5,3,8,8,2,2,1,3,18,17.2,-9,L ,-5
16,2016-11-28,NYK,OKC,1,38:02,10,20,.500,0,2,.000,10,10,1.000,2,5,7,4,0,0,1,0,30,24.7,-1,L ,-9
17,2016-11-30,NYK,MIN,1,23:35,5,12,.417,1,3,.333,0,0,,0,0,0,2,1,0,2,4,11,3.4,-9,W ,+2
18,2016-12-02,NYK,MIN,1,33:54,9,15,.600,0,1,.000,6,10,.600,1,4,5,5,1,0,1,1,24,20.5,+13,W ,+4
19,2016-12-04,NYK,SAC,1,33:37,9,14,.643,0,0,,2,3,.667,2,4,6,6,0,0,4,1,20,15.8,-2,W ,+8
21,2016-12-06,NYK,MIA,1,24:55,4,12,.333,0,1,.000,2,2,1.000,1,1,2,3,2,0,1,0,10,7.3,+7,W ,+11
22,2016-12-07,NYK,CLE,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,L ,-32
23,2016-12-09,NYK,SAC,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,W ,+3
