,Date,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Match Result,Points
17,2021-01-27,DET,CLE,0,19:07,5,10,.500,2,3,.667,1,2,.500,0,0,0,3,0,0,2,0,13,7.7,-28,L ,-15
18,2021-01-28,DET,LAL,0,20:21,6,12,.500,0,2,.000,2,2,1.000,0,1,1,3,2,0,2,0,14,10.4,-6,W ,+15
19,2021-01-30,DET,GSW,0,17:03,3,11,.273,0,1,.000,2,2,1.000,2,0,2,2,1,0,0,0,8,5.3,-1,L ,-27
21,2021-02-02,DET,UTA,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,L ,-12
22,2021-02-05,DET,PHO,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,L ,-17
23,2021-02-06,DET,LAL,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,L ,-6
24,2021-02-09,NYK,MIA,0,20:20,5,9,.556,2,3,.667,2,2,1.000,0,1,1,3,1,1,2,0,14,11.8,+6,L ,-2
25,2021-02-12,NYK,WAS,0,19:58,7,11,.636,0,1,.000,0,0,,0,3,3,6,4,0,2,0,14,16.2,+18,W ,+18
26,2021-02-13,NYK,HOU,0,22:32,5,11,.455,1,3,.333,5,7,.714,0,1,1,3,0,0,1,0,16,10.9,+18,W ,+22
27,2021-02-15,NYK,ATL,0,23:37,3,9,.333,0,1,.000,2,2,1.000,0,3,3,3,0,2,2,4,8,3.7,+8,W ,+11
28,2021-02-17,NYK,ORL,0,16:33,1,10,.100,0,1,.000,2,2,1.000,1,5,6,2,0,0,1,0,4,0.0,-15,L ,-18
29,2021-02-21,NYK,MIN,0,18:44,1,8,.125,0,1,.000,2,2,1.000,0,1,1,2,1,0,1,1,4,0.1,-12,W ,+4
30,2021-02-23,NYK,GSW,0,27:10,6,15,.400,2,4,.500,2,2,1.000,0,4,4,8,1,1,1,1,16,15.0,+12,L ,-8
31,2021-02-25,NYK,SAC,1,27:35,7,11,.636,2,2,1.000,2,2,1.000,0,3,3,6,0,0,3,2,18,14.4,+4,W ,+19
32,2021-02-27,NYK,IND,1,37:42,6,11,.545,1,3,.333,4,4,1.000,0,1,1,11,4,0,4,2,17,18.9,+11,W ,+3
33,2021-02-28,NYK,DET,1,32:09,6,14,.429,2,3,.667,0,1,.000,0,3,3,5,0,2,2,2,14,9.2,+17,W ,+19
34,2021-03-02,NYK,SAS,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,L ,-26
35,2021-03-04,NYK,DET,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,W ,+10
36,2021-03-11,NYK,MIL,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,L ,-33
37,2021-03-13,NYK,OKC,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,W ,+22
38,2021-03-15,NYK,BRK,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,L ,-5
39,2021-03-16,NYK,PHI,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,L ,-3
40,2021-03-18,NYK,ORL,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,W ,+1
42,2021-03-21,NYK,PHI,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,L ,-1
43,2021-03-23,NYK,WAS,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,W ,+18
44,2021-03-25,NYK,WAS,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,W ,+4
45,2021-03-27,NYK,MIL,0,29:06,6,15,.400,1,5,.200,0,0,,0,1,1,1,2,1,1,1,13,7.2,+7,W ,+6
46,2021-03-29,NYK,MIA,0,26:19,6,13,.462,3,5,.600,1,2,.500,0,2,2,2,0,1,1,1,16,10.2,-2,L ,-10
47,2021-03-31,NYK,MIN,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,L ,-1
48,2021-04-02,NYK,DAL,0,25:24,1,10,.100,0,2,.000,0,0,,3,2,5,4,0,0,0,0,2,0.9,+3,L ,-13
49,2021-04-03,NYK,DET,0,20:34,3,6,.500,0,3,.000,1,2,.500,0,2,2,2,2,0,0,0,7,7.6,+18,W ,+44
50,2021-04-05,NYK,BRK,0,25:25,6,14,.429,2,4,.500,2,3,.667,0,1,1,3,1,0,0,1,16,11.2,-8,L ,-2
51,2021-04-07,NYK,BOS,0,26:33,4,10,.400,1,1,1.000,2,2,1.000,0,0,0,3,0,0,0,0,11,7.7,+6,L ,-2
52,2021-04-09,NYK,MEM,0,26:17,8,17,.471,0,4,.000,3,3,1.000,2,2,4,3,1,2,2,1,19,14.4,+2,W ,+4
53,2021-04-11,NYK,TOR,0,23:17,4,10,.400,0,1,.000,3,3,1.000,0,1,1,2,0,0,3,2,11,3.5,-7,W ,+6
54,2021-04-12,NYK,LAL,0,19:50,5,9,.556,0,0,,4,4,1.000,1,2,3,2,0,1,1,1,14,11.7,-10,W ,+15
55,2021-04-14,NYK,NOP,0,28:04,5,14,.357,1,4,.250,0,0,,1,3,4,4,2,1,0,0,11,10.3,+14,W ,+10
56,2021-04-16,NYK,DAL,0,24:45,7,13,.538,1,2,.500,0,0,,0,1,1,5,1,0,0,1,15,13.1,+14,W ,+8
57,2021-04-18,NYK,NOP,0,35:13,9,17,.529,2,4,.500,3,4,.750,0,3,3,5,1,1,2,1,23,18.0,+22,W ,+10
58,2021-04-20,NYK,CHO,0,25:15,8,12,.667,1,4,.250,0,0,,0,1,1,5,0,0,0,1,17,15.2,+2,W ,+12
59,2021-04-21,NYK,ATL,0,30:17,8,12,.667,1,1,1.000,3,4,.750,0,4,4,3,1,0,2,6,20,14.3,+14,W ,+10
60,2021-04-24,NYK,TOR,0,33:16,7,10,.700,0,1,.000,5,6,.833,0,4,4,7,2,0,1,2,19,20.7,+26,W ,+17
61,2021-04-26,NYK,PHO,0,33:13,10,18,.556,0,1,.000,2,2,1.000,1,5,6,6,0,0,2,2,22,17.0,-14,L ,-8
63,2021-04-28,NYK,CHI,0,25:00,2,11,.182,0,1,.000,2,2,1.000,0,1,1,6,1,1,0,0,6,5.3,+4,W ,+19
64,2021-05-02,NYK,HOU,0,31:01,8,11,.727,4,5,.800,4,4,1.000,1,5,6,4,1,0,1,0,24,24.5,+35,W ,+25
65,2021-05-03,NYK,MEM,0,26:37,11,15,.733,3,5,.600,0,0,,0,2,2,2,1,0,1,1,25,20.5,+16,W ,+14
66,2021-05-05,NYK,DEN,0,26:48,6,10,.600,2,3,.667,0,0,,0,2,2,3,0,0,2,2,14,9.3,-10,L ,-16
67,2021-05-07,NYK,PHO,0,29:06,7,14,.500,1,3,.333,2,2,1.000,0,4,4,6,0,0,1,1,17,14.0,0,L ,-23
68,2021-05-09,NYK,LAC,0,32:26,11,17,.647,2,3,.667,1,1,1.000,0,6,6,8,1,0,4,1,25,21.5,+7,W ,+6
69,2021-05-11,NYK,LAL,0,38:50,10,22,.455,1,4,.250,6,6,1.000,1,5,6,6,3,1,3,0,27,22.7,+6,L ,-2
70,2021-05-13,NYK,SAS,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,W ,+4
71,2021-05-15,NYK,CHO,0,25:04,6,9,.667,1,2,.500,2,2,1.000,1,0,1,3,0,0,2,1,15,11.5,-8,W ,+9
72,2021-05-16,NYK,BOS,0,23:19,3,9,.333,0,0,,1,1,1.000,2,3,5,2,0,0,1,1,7,4.2,0,W ,+4
