,Date,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Match Result,Points
17,2018-11-21,MIN,DEN,0,29:25,6,11,.545,2,6,.333,6,6,1.000,2,2,4,4,1,0,1,0,20,19.5,-4,L ,-2
18,2018-11-23,MIN,BRK,0,29:27,11,17,.647,2,2,1.000,1,1,1.000,0,2,2,3,0,0,2,2,25,17.4,-10,W ,+10
19,2018-11-24,MIN,CHI,0,31:08,9,13,.692,2,4,.500,2,2,1.000,0,2,2,4,0,1,1,1,22,19.2,+18,W ,+15
21,2018-11-26,MIN,CLE,0,29:11,6,13,.462,0,2,.000,0,0,,0,1,1,4,0,1,0,0,12,9.1,+5,W ,+7
22,2018-11-28,MIN,SAS,0,17:56,6,8,.750,4,5,.800,0,0,,0,1,1,2,0,0,0,1,16,14.1,+13,W ,+39
23,2018-12-01,MIN,BOS,0,29:25,11,18,.611,2,3,.667,2,2,1.000,0,0,0,4,1,0,3,1,26,18.2,-13,L ,-9
24,2018-12-03,MIN,HOU,0,25:17,0,4,.000,0,1,.000,0,0,,0,3,3,5,0,0,1,1,0,0.2,+13,W ,+12
25,2018-12-05,MIN,CHO,0,25:31,8,15,.533,0,2,.000,0,2,.000,1,0,1,3,0,0,1,0,16,9.7,+9,W ,+17
26,2018-12-08,MIN,POR,1,37:17,9,25,.360,0,1,.000,0,0,,2,1,3,9,3,1,2,4,18,12.2,-12,L ,-8
27,2018-12-10,MIN,GSW,0,34:03,8,18,.444,2,3,.667,3,3,1.000,1,2,3,4,2,2,3,0,21,16.1,0,L ,-8
28,2018-12-12,MIN,SAC,0,22:06,8,13,.615,1,2,.500,3,4,.750,0,1,1,4,0,0,1,2,20,15.0,-8,L ,-11
29,2018-12-15,MIN,PHO,0,32:46,11,16,.688,2,3,.667,1,1,1.000,0,1,1,1,2,0,2,0,25,19.2,-2,L ,-8
30,2018-12-17,MIN,SAC,1,24:26,3,12,.250,1,3,.333,6,8,.750,1,1,2,11,0,0,2,2,13,10.9,-3,W ,+27
31,2018-12-19,MIN,DET,1,38:13,14,29,.483,1,4,.250,4,4,1.000,0,3,3,7,1,0,2,3,33,21.9,-13,L ,-6
32,2018-12-21,MIN,SAS,1,15:53,1,8,.125,0,0,,2,2,1.000,0,2,2,1,0,1,1,0,4,-0.2,-7,L ,-26
33,2018-12-23,MIN,OKC,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,W ,+2
34,2018-12-26,MIN,CHI,1,38:11,11,19,.579,1,5,.200,1,1,1.000,0,3,3,8,2,0,2,0,24,21.6,+19,W ,+25
35,2018-12-28,MIN,ATL,1,38:46,10,24,.417,3,5,.600,2,3,.667,1,2,3,9,2,0,2,3,25,18.2,+3,L ,-3
36,2018-12-30,MIN,MIA,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,W ,+9
37,2018-12-31,MIN,NOP,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,L ,-9
38,2019-01-02,MIN,BOS,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,L ,-13
39,2019-01-04,MIN,ORL,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,W ,+17
40,2019-01-06,MIN,LAL,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,W ,+22
42,2019-01-08,MIN,OKC,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,W ,+2
43,2019-01-11,MIN,DAL,0,27:30,8,16,.500,3,5,.600,2,2,1.000,0,3,3,5,0,1,2,0,21,16.1,+1,L ,-4
44,2019-01-12,MIN,NOP,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,W ,+4
45,2019-01-15,MIN,PHI,0,21:35,6,13,.462,1,5,.200,2,2,1.000,1,1,2,4,0,0,0,1,15,11.7,-24,L ,-42
46,2019-01-18,MIN,SAS,0,26:41,6,16,.375,0,3,.000,11,11,1.000,1,2,3,6,0,0,1,2,23,17.9,-4,L ,-3
47,2019-01-20,MIN,PHO,0,37:36,12,24,.500,0,4,.000,7,9,.778,0,4,4,3,0,0,1,1,31,20.1,+1,W ,+2
48,2019-01-22,MIN,PHO,1,23:14,3,9,.333,0,3,.000,0,0,,1,0,1,5,1,0,1,0,6,5.1,+17,W ,+27
49,2019-01-24,MIN,LAL,1,12:11,3,7,.429,0,1,.000,0,0,,1,2,3,3,0,0,2,0,6,3.7,-2,W ,+15
50,2019-01-25,MIN,UTA,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,L ,-4
51,2019-01-27,MIN,UTA,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,L ,-14
52,2019-01-30,MIN,MEM,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,W ,+2
53,2019-02-02,MIN,DEN,0,20:25,4,10,.400,0,2,.000,0,0,,0,2,2,5,1,0,1,0,8,6.7,-2,L ,-1
54,2019-02-05,MIN,MEM,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,L ,-2
55,2019-02-07,MIN,ORL,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,L ,-10
56,2019-02-08,MIN,NOP,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,L ,-5
57,2019-02-11,MIN,LAC,0,24:35,9,18,.500,0,2,.000,4,5,.800,0,1,1,6,1,1,1,0,22,17.8,+2,W ,+10
58,2019-02-13,MIN,HOU,0,22:45,5,13,.385,0,1,.000,2,2,1.000,1,2,3,4,0,0,2,1,12,6.6,+7,W ,+10
59,2019-02-22,MIN,NYK,0,23:22,6,14,.429,0,2,.000,8,8,1.000,1,1,2,3,3,0,3,2,20,14.9,+2,W ,+11
60,2019-02-23,MIN,MIL,0,23:11,10,15,.667,0,2,.000,3,3,1.000,0,2,2,4,0,0,2,0,23,17.9,+15,L ,-12
61,2019-02-25,MIN,SAC,0,24:56,8,17,.471,1,3,.333,3,5,.600,1,4,5,1,0,0,4,1,20,8.7,-6,W ,+7
63,2019-02-27,MIN,ATL,0,26:31,7,17,.412,0,0,,4,5,.800,1,5,6,6,0,0,0,2,18,14.1,+8,L ,-8
64,2019-02-28,MIN,IND,0,23:32,5,10,.500,0,2,.000,0,0,,0,1,1,0,0,1,0,1,10,5.6,-13,L ,-7
65,2019-03-03,MIN,WAS,0,24:19,8,17,.471,0,1,.000,2,2,1.000,1,1,2,3,0,0,1,1,18,11.0,-7,L ,-14
66,2019-03-05,MIN,OKC,0,19:47,8,14,.571,0,1,.000,3,3,1.000,1,3,4,2,0,0,1,2,19,13.6,-4,W ,+11
67,2019-03-06,MIN,DET,0,19:23,4,9,.444,0,1,.000,0,0,,0,1,1,2,0,0,0,2,8,4.2,-12,L ,-17
68,2019-03-09,MIN,WAS,0,30:24,13,23,.565,0,2,.000,3,4,.750,1,2,3,3,1,0,2,1,29,19.7,+10,W ,+5
69,2019-03-10,MIN,NYK,0,7:58,2,5,.400,0,0,,0,0,,1,0,1,1,1,0,1,0,4,2.7,+1,W ,+11
70,2019-03-12,MIN,DEN,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,L ,-26
71,2019-03-14,MIN,UTA,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,L ,-20
72,2019-03-17,MIN,HOU,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,L ,-15
73,2019-03-19,MIN,GSW,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,L ,-10
74,2019-03-21,MIN,CHO,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,L ,-7
75,2019-03-23,MIN,MEM,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,W ,+13
76,2019-03-26,MIN,LAC,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,L ,-11
77,2019-03-29,MIN,GSW,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,W ,+1
78,2019-03-30,MIN,PHI,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,L ,-9
79,2019-04-01,MIN,POR,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,L ,-10
80,2019-04-03,MIN,DAL,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,W ,+2
81,2019-04-05,MIN,MIA,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,W ,+2
82,2019-04-07,MIN,OKC,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,L ,-6
84,2019-04-09,MIN,TOR,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,L ,-20
85,2019-04-10,MIN,DEN,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,L ,-4
