Date,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Game Played,Match Result,Points,Minutes Played,Seconds Played
08-11-2013,CHI,UTA,3,8,0.375,1,2,0.5,5,5,1,0,2,2,5,1,1,4,1,12,9,18,Yes,W ,24,27,4
11-11-2013,CHI,CLE,8,21,0.381,0,2,0,0,0,,1,2,3,7,0,0,0,1,16,10.3,9,Yes,W ,15,34,0
16-11-2013,CHI,IND,7,16,0.438,6,11,0.545,0,0,,1,2,3,4,1,0,0,1,20,16.3,12,Yes,W ,16,30,59
18-11-2013,CHI,CHA,4,13,0.308,1,5,0.2,3,4,0.75,0,3,3,5,1,0,3,1,12,6.1,3,Yes,W ,5,30,36
21-11-2013,CHI,DEN,9,20,0.45,1,2,0.5,0,1,0,1,3,4,4,0,0,2,2,19,9.8,-19,Yes,L ,-10,33,5
22-11-2013,CHI,POR,6,19,0.316,2,5,0.4,6,7,0.857,1,4,5,3,2,0,4,0,20,10.7,-8,Yes,L ,-3,27,31
29-10-2014,CHI,NYK,3,7,0.429,0,3,0,7,8,0.875,0,3,3,5,2,0,3,2,13,11.5,4,Yes,W ,24,21,21
31-10-2014,CHI,CLE,8,16,0.5,2,6,0.333,2,3,0.667,3,1,4,4,0,0,2,1,20,14.4,8,Yes,L ,-6,25,18
05-11-2014,CHI,MIL,4,10,0.4,2,5,0.4,3,4,0.75,0,2,2,7,2,0,4,2,13,9.9,19,Yes,W ,9,31,12
10-11-2014,CHI,DET,9,20,0.45,2,5,0.4,4,5,0.8,0,2,2,7,1,0,3,2,24,15.9,14,Yes,W ,11,32,6
13-11-2014,CHI,TOR,5,14,0.357,1,5,0.2,9,10,0.9,2,1,3,4,0,0,5,0,20,11.3,1,Yes,W ,7,29,51
24-11-2014,CHI,UTA,5,10,0.5,3,5,0.6,5,8,0.625,0,3,3,5,1,0,4,0,18,13.2,5,Yes,W ,2,24,37
25-11-2014,CHI,DEN,1,4,0.25,0,3,0,0,0,,0,0,0,3,0,0,1,1,2,0.3,-8,Yes,L ,-5,9,52
28-11-2014,CHI,BOS,9,18,0.5,2,6,0.333,1,2,0.5,1,3,4,4,0,1,1,2,21,14.9,11,Yes,W ,7,27,44
30-11-2014,CHI,BRK,5,12,0.417,2,7,0.286,2,3,0.667,1,5,6,2,0,0,4,1,14,6.4,14,Yes,W ,18,25,56
02-12-2014,CHI,DAL,6,20,0.3,4,11,0.364,2,4,0.5,1,4,5,10,0,0,7,2,18,6.7,-1,Yes,L ,-3,36,33
03-12-2014,CHI,CHO,5,12,0.417,2,7,0.286,3,3,1,0,2,2,5,0,0,2,2,15,9.9,0,Yes,W ,7,27,48
06-12-2014,CHI,GSW,2,11,0.182,1,7,0.143,4,4,1,1,3,4,6,0,0,2,2,9,5.1,-19,Yes,L ,-10,31,11
10-12-2014,CHI,BRK,8,15,0.533,3,7,0.429,4,5,0.8,0,4,4,4,0,0,5,4,23,12.7,20,Yes,W ,25,23,50
12-12-2014,CHI,POR,14,24,0.583,0,2,0,3,3,1,0,3,3,5,1,0,2,2,31,22.4,-5,Yes,W ,9,31,34
14-12-2014,CHI,MIA,6,14,0.429,1,3,0.333,1,2,0.5,0,2,2,3,1,0,1,3,14,7.7,15,Yes,W ,18,27,10
15-12-2014,CHI,ATL,6,21,0.286,0,7,0,2,3,0.667,3,2,5,8,0,1,6,1,14,3.9,-9,Yes,L ,-7,31,30
22-12-2014,CHI,TOR,12,19,0.632,0,3,0,5,6,0.833,0,2,2,3,0,0,2,1,29,20.4,4,Yes,W ,9,30,52
23-12-2014,CHI,WAS,10,17,0.588,1,3,0.333,4,4,1,1,1,2,4,2,0,5,0,25,17.9,2,Yes,W ,8,28,34
25-12-2014,CHI,LAL,7,14,0.5,2,6,0.333,4,4,1,0,2,2,6,1,0,3,0,20,15.8,4,Yes,W ,20,31,47
27-12-2014,CHI,NOP,8,18,0.444,2,5,0.4,1,2,0.5,0,1,1,1,0,0,4,0,19,6.2,-3,Yes,W ,7,27,1
29-12-2014,CHI,IND,5,20,0.25,1,7,0.143,6,6,1,0,3,3,6,0,2,3,0,17,8.5,2,Yes,W ,2,34,50
30-12-2014,CHI,BRK,2,15,0.133,0,5,0,0,0,,1,3,4,5,0,1,4,2,4,-4.7,-2,Yes,L ,-14,27,41
01-01-2015,CHI,DEN,7,25,0.28,1,3,0.333,2,2,1,0,3,3,8,2,2,1,1,17,10.8,1,Yes,W ,5,31,34
03-01-2015,CHI,BOS,5,18,0.278,1,4,0.25,1,2,0.5,0,2,2,1,1,0,4,1,12,-1.1,-5,Yes,W ,5,34,41
05-01-2015,CHI,HOU,6,17,0.353,1,4,0.25,6,6,1,1,2,3,9,2,0,3,1,19,15.7,12,Yes,W ,9,34,5
07-01-2015,CHI,UTA,3,15,0.2,0,1,0,1,2,0.5,2,2,4,2,0,0,3,2,7,-3.1,-18,Yes,L ,-20,30,12
09-01-2015,CHI,WAS,8,19,0.421,1,7,0.143,2,2,1,1,3,4,2,0,1,4,1,19,8.2,-21,Yes,L ,-16,30,58
12-01-2015,CHI,ORL,8,15,0.533,1,5,0.2,1,3,0.333,0,2,2,7,2,0,3,3,18,13.2,-2,Yes,L ,-7,30,28
14-01-2015,CHI,WAS,12,22,0.545,6,9,0.667,2,3,0.667,0,2,2,5,0,0,3,2,32,21.3,-18,Yes,L ,-6,36,3
16-01-2015,CHI,BOS,12,20,0.6,5,8,0.625,0,0,,1,2,3,10,1,2,0,0,29,30.5,9,Yes,W ,16,32,48
17-01-2015,CHI,ATL,8,22,0.364,4,10,0.4,3,5,0.6,2,6,8,10,0,0,3,0,23,17.2,3,Yes,L ,-8,37,6
19-01-2015,CHI,CLE,5,14,0.357,3,5,0.6,5,5,1,0,1,1,2,1,0,1,1,18,11.5,-13,Yes,L ,-14,29,56
22-01-2015,CHI,SAS,9,16,0.563,2,4,0.5,2,2,1,1,1,2,5,2,0,2,1,22,18.5,26,Yes,W ,23,26,39
23-01-2015,CHI,DAL,7,17,0.412,3,5,0.6,3,3,1,2,1,3,3,1,1,5,0,20,11.4,8,Yes,W ,4,37,5
25-01-2015,CHI,MIA,7,17,0.412,0,6,0,5,6,0.833,0,2,2,4,1,1,4,1,19,10.2,-13,Yes,L ,-12,33,17
27-01-2015,CHI,GSW,13,33,0.394,4,12,0.333,0,0,,2,5,7,1,0,1,11,1,30,5,10,Yes,W ,2,42,55
29-01-2015,CHI,LAL,7,26,0.269,1,7,0.143,2,2,1,2,2,4,6,1,0,5,1,17,3.4,-6,Yes,L ,-5,42,28
30-01-2015,CHI,PHO,8,23,0.348,0,6,0,7,9,0.778,2,3,5,3,0,0,3,2,23,9.9,15,Yes,L ,-6,36,19
04-02-2015,CHI,HOU,9,22,0.409,2,9,0.222,3,4,0.75,0,4,4,2,0,0,3,1,23,10,6,Yes,L ,-11,38,3
07-02-2015,CHI,NOP,8,15,0.533,2,5,0.4,2,3,0.667,0,2,2,4,0,0,2,0,20,13.7,23,Yes,W ,35,28,3
08-02-2015,CHI,ORL,4,14,0.286,1,4,0.25,1,2,0.5,0,1,1,11,2,0,3,0,10,8.4,2,Yes,W ,1,34,53
10-02-2015,CHI,SAC,10,17,0.588,1,4,0.25,2,3,0.667,0,1,1,7,2,1,0,0,23,22.6,16,Yes,W ,18,32,36
12-02-2015,CHI,CLE,12,24,0.5,0,2,0,6,6,1,1,3,4,7,1,0,2,3,30,22.3,3,Yes,W ,15,40,35
20-02-2015,CHI,DET,2,9,0.222,0,3,0,4,4,1,0,2,2,2,0,1,6,2,8,-1.6,-19,Yes,L ,-9,31,4
21-02-2015,CHI,PHO,5,12,0.417,1,3,0.333,5,5,1,0,4,4,5,1,0,1,4,16,12.7,8,Yes,W ,5,25,15
23-02-2015,CHI,MIL,1,13,0.077,1,7,0.143,5,6,0.833,3,2,5,8,0,1,3,3,8,3.7,3,Yes,W ,16,32,55
08-04-2015,CHI,ORL,3,9,0.333,1,6,0.167,2,2,1,0,2,2,2,1,0,4,1,9,2.5,-3,Yes,L ,-2,19,24
09-04-2015,CHI,MIA,5,15,0.333,0,3,0,2,2,1,1,3,4,2,0,0,3,0,12,3.5,-2,Yes,W ,11,20,22
11-04-2015,CHI,PHI,8,19,0.421,1,5,0.2,5,7,0.714,0,6,6,8,3,0,0,0,22,21.5,25,Yes,W ,7,28,29
13-04-2015,CHI,BRK,5,13,0.385,2,4,0.5,1,2,0.5,0,3,3,7,1,0,2,1,13,9.9,8,Yes,W ,27,23,4
15-04-2015,CHI,ATL,1,3,0.333,0,2,0,0,0,,0,2,2,1,0,0,4,0,2,-2.4,-11,Yes,W ,6,10,18
27-10-2015,CHI,CLE,8,22,0.364,0,2,0,2,4,0.5,0,1,1,5,1,0,2,0,18,7.8,-1,Yes,W ,2,32,28
28-10-2015,CHI,BRK,5,11,0.455,0,1,0,5,5,1,0,2,2,3,1,0,2,2,15,10.2,18,Yes,W ,15,29,26
30-10-2015,CHI,DET,4,13,0.308,0,1,0,0,0,,0,2,2,6,0,0,5,3,8,-0.9,-14,Yes,L ,-4,34,29
01-11-2015,CHI,ORL,2,8,0.25,0,1,0,2,2,1,0,7,7,8,0,0,3,1,6,5.5,6,Yes,W ,5,32,19
03-11-2015,CHI,CHO,2,8,0.25,0,3,0,0,0,,0,2,2,5,0,0,2,0,4,1.3,-16,Yes,L ,-25,23,52
05-11-2015,CHI,OKC,12,25,0.48,0,1,0,5,6,0.833,1,4,5,6,0,0,2,1,29,19.6,4,Yes,W ,6,37,29
07-11-2015,CHI,MIN,3,13,0.231,1,4,0.25,4,5,0.8,0,3,3,5,1,0,5,1,11,2.7,-21,Yes,L ,-9,38,7
09-11-2015,CHI,PHI,6,14,0.429,0,3,0,0,1,0,2,3,5,8,0,1,2,0,12,10.8,14,Yes,W ,23,27,33
13-11-2015,CHI,CHO,4,14,0.286,0,2,0,2,2,1,0,1,1,8,1,1,3,2,10,5.6,-2,Yes,W ,5,34,39
16-11-2015,CHI,IND,9,18,0.5,2,2,1,3,4,0.75,1,1,2,6,2,1,0,3,23,20.3,5,Yes,W ,1,33,13
24-11-2015,CHI,POR,7,20,0.35,1,3,0.333,2,2,1,0,4,4,6,0,0,2,3,17,8,11,Yes,W ,5,34,31
27-11-2015,CHI,IND,4,16,0.25,2,5,0.4,0,0,,1,5,6,5,1,1,3,1,10,4.4,-19,Yes,L ,-12,31,15
30-11-2015,CHI,SAS,5,17,0.294,0,2,0,1,2,0.5,0,4,4,6,1,1,1,1,11,6.4,-5,Yes,W ,3,34,8
02-12-2015,CHI,DEN,3,17,0.176,0,2,0,6,8,0.75,0,2,2,9,0,0,2,2,12,4.6,9,Yes,W ,9,37,0
05-12-2015,CHI,CHO,8,17,0.471,3,6,0.5,0,1,0,0,7,7,5,0,0,2,2,19,12.7,-11,Yes,L ,-6,34,14
07-12-2015,CHI,PHO,7,18,0.389,0,3,0,0,0,,1,5,6,4,3,1,5,3,14,6.7,2,Yes,L ,-2,34,12
09-12-2015,CHI,BOS,5,11,0.455,1,3,0.333,1,4,0.25,0,2,2,6,0,1,3,0,12,7.6,-3,Yes,L ,-5,36,30
10-12-2015,CHI,LAC,5,11,0.455,1,3,0.333,0,0,,0,3,3,2,1,0,3,0,11,5.6,-3,Yes,W ,3,27,32
12-12-2015,CHI,NOP,4,10,0.4,0,0,,1,2,0.5,0,3,3,3,1,0,1,0,9,6.2,0,Yes,W ,4,28,43
14-12-2015,CHI,PHI,2,3,0.667,0,0,,2,2,1,0,1,1,4,0,0,2,1,6,5.4,5,Yes,W ,19,26,26
16-12-2015,CHI,MEM,9,19,0.474,0,3,0,1,3,0.333,0,2,2,5,1,0,3,1,19,10.2,10,Yes,W ,13,33,6
18-12-2015,CHI,DET,14,34,0.412,1,3,0.333,5,5,1,0,4,4,8,1,0,4,5,34,17.6,5,Yes,L ,-3,54,13
19-12-2015,CHI,NYK,3,10,0.3,0,2,0,0,1,0,2,0,2,1,0,0,2,0,6,-0.1,-2,Yes,L ,-16,21,2
21-12-2015,CHI,BRK,3,11,0.273,1,3,0.333,1,2,0.5,1,3,4,5,2,0,3,1,8,4.8,-9,Yes,L ,-3,32,31
25-12-2015,CHI,OKC,7,18,0.389,0,1,0,5,6,0.833,1,3,4,1,0,0,4,6,19,4.7,10,Yes,W ,9,30,4
26-12-2015,CHI,DAL,12,20,0.6,0,1,0,1,1,1,1,4,5,4,0,0,3,1,25,17.1,-5,Yes,L ,-7,36,34
28-12-2015,CHI,TOR,7,16,0.438,3,5,0.6,3,4,0.75,0,1,1,4,0,1,1,1,20,13.6,0,Yes,W ,7,28,48
05-01-2016,CHI,MIL,8,17,0.471,0,4,0,0,0,,0,1,1,6,0,0,5,1,16,6.4,15,Yes,W ,11,34,32
07-01-2016,CHI,BOS,9,16,0.563,0,1,0,0,0,,2,5,7,3,0,0,2,4,18,11.8,6,Yes,W ,9,34,27
09-01-2016,CHI,ATL,5,15,0.333,0,0,,7,8,0.875,2,1,3,5,2,1,6,1,17,9.6,-9,Yes,L ,-15,35,29
11-01-2016,CHI,WAS,8,13,0.615,2,3,0.667,5,5,1,0,0,0,1,0,1,4,0,23,14.5,-25,Yes,L ,-14,31,3
12-01-2016,CHI,MIL,3,9,0.333,1,3,0.333,2,2,1,1,0,1,3,1,0,3,2,9,3.9,-9,Yes,L ,-5,22,29
15-01-2016,CHI,DAL,8,18,0.444,0,2,0,2,2,1,1,3,4,2,2,0,1,1,18,12.2,3,Yes,L ,-6,33,22
18-01-2016,CHI,DET,9,17,0.529,1,2,0.5,1,1,1,0,1,1,4,0,0,1,0,20,13.8,-8,Yes,W ,10,27,26
20-01-2016,CHI,GSW,12,22,0.545,0,2,0,5,5,1,0,1,1,2,0,0,2,3,29,16.9,-10,Yes,L ,-31,30,10
22-01-2016,CHI,BOS,10,21,0.476,3,4,0.75,4,4,1,2,5,7,3,0,0,4,2,27,16.5,-15,Yes,L ,-9,36,8
23-01-2016,CHI,CLE,5,21,0.238,0,1,0,2,2,1,1,3,4,4,0,1,1,1,12,3,-1,Yes,W ,13,35,16
25-01-2016,CHI,MIA,2,6,0.333,0,0,,0,0,,0,0,0,1,0,0,0,0,4,1.3,-2,Yes,L ,-5,13,1
28-01-2016,CHI,LAL,7,12,0.583,0,2,0,2,2,1,0,7,7,5,1,0,1,2,16,15.2,15,Yes,W ,23,28,42
31-01-2016,CHI,LAC,10,17,0.588,0,0,,0,0,,0,5,5,4,0,0,3,2,20,12.6,-14,Yes,L ,-27,33,3
01-02-2016,CHI,UTA,6,21,0.286,1,4,0.25,1,2,0.5,1,2,3,4,1,1,3,3,14,2.9,-14,Yes,L ,-9,36,50
03-02-2016,CHI,SAC,6,15,0.4,0,1,0,9,10,0.9,2,4,6,9,2,0,7,1,21,16,7,Yes,W ,5,35,24
05-02-2016,CHI,DEN,13,27,0.481,0,3,0,4,6,0.667,2,7,9,8,1,0,2,1,30,23.2,-7,Yes,L ,-5,35,20
06-02-2016,CHI,MIN,6,20,0.3,0,3,0,6,7,0.857,3,2,5,10,1,0,3,3,18,12.5,-3,Yes,L ,-7,32,57
10-02-2016,CHI,ATL,6,18,0.333,2,2,1,0,0,,2,3,5,3,1,0,2,2,14,6.4,-14,Yes,L ,-23,28,48
18-02-2016,CHI,CLE,11,19,0.579,2,3,0.667,4,4,1,0,7,7,2,1,0,3,0,28,20.6,-15,Yes,L ,-11,30,21
19-02-2016,CHI,TOR,12,20,0.6,1,2,0.5,1,2,0.5,2,1,3,6,0,0,4,1,26,17.9,4,Yes,W ,10,34,41
21-02-2016,CHI,LAL,8,15,0.533,0,1,0,8,8,1,3,4,7,6,0,0,2,2,24,21.4,-4,Yes,W ,11,30,49
