,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,2014-10-29,26-025,CHI,@,NYK,W (+24),1,21:21,3,7,.429,0,3,.000,7,8,.875,0,3,3,5,2,0,3,2,13,11.5,+4
1,2,2,2014-10-31,26-027,CHI,,CLE,L (-6),1,25:18,8,16,.500,2,6,.333,2,3,.667,3,1,4,4,0,0,2,1,20,14.4,+8
2,3,,2014-11-01,26-028,CHI,@,MIN,W (+1),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
3,4,,2014-11-04,26-031,CHI,,ORL,W (+8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
4,5,3,2014-11-05,26-032,CHI,@,MIL,W (+9),1,31:12,4,10,.400,2,5,.400,3,4,.750,0,2,2,7,2,0,4,2,13,9.9,+19
5,6,,2014-11-07,26-034,CHI,@,PHI,W (+3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
6,7,,2014-11-08,26-035,CHI,,BOS,L (-5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
7,8,4,2014-11-10,26-037,CHI,,DET,W (+11),1,32:06,9,20,.450,2,5,.400,4,5,.800,0,2,2,7,1,0,3,2,24,15.9,+14
8,9,5,2014-11-13,26-040,CHI,@,TOR,W (+7),1,29:51,5,14,.357,1,5,.200,9,10,.900,2,1,3,4,0,0,5,0,20,11.3,+1
9,10,,2014-11-15,26-042,CHI,,IND,L (-9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
10,11,,2014-11-17,26-044,CHI,@,LAC,W (+16),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
11,12,,2014-11-20,26-047,CHI,@,SAC,L (-15),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
12,13,,2014-11-21,26-048,CHI,@,POR,L (-18),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
13,14,6,2014-11-24,26-051,CHI,@,UTA,W (+2),1,24:37,5,10,.500,3,5,.600,5,8,.625,0,3,3,5,1,0,4,0,18,13.2,+5
14,15,7,2014-11-25,26-052,CHI,@,DEN,L (-5),1,9:52,1,4,.250,0,3,.000,0,0,,0,0,0,3,0,0,1,1,2,0.3,-8
15,16,8,2014-11-28,26-055,CHI,@,BOS,W (+7),1,27:44,9,18,.500,2,6,.333,1,2,.500,1,3,4,4,0,1,1,2,21,14.9,+11
16,17,9,2014-11-30,26-057,CHI,@,BRK,W (+18),1,25:56,5,12,.417,2,7,.286,2,3,.667,1,5,6,2,0,0,4,1,14,6.4,+14
17,18,10,2014-12-02,26-059,CHI,,DAL,L (-3),1,36:33,6,20,.300,4,11,.364,2,4,.500,1,4,5,10,0,0,7,2,18,6.7,-1
18,19,11,2014-12-03,26-060,CHI,@,CHO,W (+7),1,27:48,5,12,.417,2,7,.286,3,3,1.000,0,2,2,5,0,0,2,2,15,9.9,0
19,20,12,2014-12-06,26-063,CHI,,GSW,L (-10),1,31:11,2,11,.182,1,7,.143,4,4,1.000,1,3,4,6,0,0,2,2,9,5.1,-19
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,21,13,2014-12-10,26-067,CHI,,BRK,W (+25),1,23:50,8,15,.533,3,7,.429,4,5,.800,0,4,4,4,0,0,5,4,23,12.7,+20
