,Date,Tm,Opp,GS,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Game Played,Match Result,Points,Minutes Played,Seconds Played
0,2008-10-28,CHI,MIL,1,3,9,.333,0,0,,5,7,.714,1,3,4,9,3,0,4,2,11,11.2,+7,Yes,W ,+13,32,12
1,2008-10-31,CHI,BOS,1,6,14,.429,0,0,,6,6,1.000,2,2,4,1,1,0,3,4,18,9.7,-15,Yes,L ,-16,28,17
2,2008-11-01,CHI,MEM,1,11,20,.550,0,1,.000,4,4,1.000,2,4,6,3,0,0,2,0,26,19.1,+8,Yes,W ,+10,37,09
3,2008-11-03,CHI,ORL,1,7,16,.438,0,0,,0,0,,0,4,4,1,0,0,3,3,14,3.3,-8,Yes,L ,-3,38,58
4,2008-11-05,CHI,CLE,1,7,16,.438,1,3,.333,5,6,.833,0,0,0,7,1,0,3,1,20,13.7,-18,Yes,L ,-14,39,27
5,2008-11-07,CHI,PHO,1,8,11,.727,1,2,.500,1,2,.500,0,4,4,6,2,0,3,1,18,17.1,+11,Yes,W ,+17,40,29
6,2008-11-08,CHI,CLE,1,7,21,.333,0,2,.000,3,4,.750,3,2,5,9,1,0,3,2,17,10.9,-12,Yes,L ,-9,44,01
7,2008-11-11,CHI,ATL,1,9,17,.529,0,0,,8,9,.889,5,5,10,6,0,0,3,0,26,23.5,-11,Yes,L ,-5,42,29
8,2008-11-13,CHI,DAL,1,7,17,.412,0,1,.000,2,4,.500,2,7,9,6,1,0,0,1,16,14.4,+6,Yes,W ,+7,41,52
9,2008-11-15,CHI,IND,1,8,15,.533,3,5,.600,4,4,1.000,0,4,4,8,3,1,1,0,23,25.2,+20,Yes,W ,+13,40,24
10,2008-11-18,CHI,LAL,1,11,18,.611,1,2,.500,2,2,1.000,0,3,3,9,0,0,2,1,25,21.6,-20,Yes,L ,-7,35,41
11,2008-11-19,CHI,POR,1,1,8,.125,0,1,.000,4,4,1.000,0,0,0,1,1,0,3,1,6,-0.9,-32,Yes,L ,-42,29,47
12,2008-11-21,CHI,GSW,1,12,19,.632,0,1,.000,1,1,1.000,0,3,3,5,2,0,5,4,25,16.3,+1,Yes,W ,+5,36,09
13,2008-11-23,CHI,DEN,1,7,16,.438,0,0,,1,2,.500,1,1,2,6,0,2,4,3,15,7.6,-14,Yes,L ,-13,43,38
14,2008-11-24,CHI,UTA,1,10,18,.556,1,1,1.000,4,4,1.000,0,1,1,9,1,0,3,0,25,21.0,-11,Yes,W ,+1,34,39
15,2008-11-26,CHI,SAS,1,5,11,.455,0,0,,0,0,,1,5,6,6,0,0,2,2,10,7.9,-2,Yes,L ,-10,39,56
16,2008-11-30,CHI,PHI,1,8,15,.533,0,0,,2,2,1.000,0,5,5,10,1,1,2,1,18,18.5,+14,Yes,W ,+11,40,31
17,2008-12-02,CHI,PHI,1,11,19,.579,0,0,,2,3,.667,1,5,6,2,0,0,6,5,24,10.3,-11,Yes,L ,-8,40,37
18,2008-12-03,CHI,MIL,1,7,16,.438,0,1,.000,4,4,1.000,1,0,1,9,4,0,5,2,18,14.8,+4,Yes,L ,-7,42,50
19,2008-12-06,CHI,WAS,1,6,12,.500,1,3,.333,2,4,.500,0,0,0,8,2,0,0,0,15,15.8,+8,Yes,W ,+7,36,49
21,2008-12-09,CHI,NYK,1,7,11,.636,0,1,.000,1,3,.333,0,3,3,7,1,2,2,2,15,14.7,+7,Yes,W ,+5,40,37
22,2008-12-12,CHI,MEM,1,6,14,.429,0,3,.000,0,1,.000,0,4,4,11,0,0,3,3,12,8.9,+1,Yes,L ,-7,44,40
23,2008-12-13,CHI,NJN,1,8,18,.444,2,3,.667,4,4,1.000,2,4,6,6,1,0,1,2,22,18.6,-5,Yes,W ,+9,38,41
24,2008-12-16,CHI,CHA,1,3,16,.188,0,1,.000,0,0,,0,5,5,7,0,0,3,2,6,-1.4,-9,Yes,L ,-9,46,58
25,2008-12-17,CHI,LAC,1,5,17,.294,0,2,.000,6,8,.750,0,1,1,7,1,0,1,2,16,9.7,+7,Yes,W ,+6,42,30
26,2008-12-19,CHI,BOS,1,5,10,.500,2,3,.667,2,2,1.000,0,0,0,5,0,0,3,1,14,9.1,-26,Yes,L ,-18,22,58
27,2008-12-20,CHI,UTA,1,10,17,.588,0,1,.000,4,6,.667,2,3,5,3,0,0,3,3,24,15.5,+4,Yes,W ,+8,31,31
28,2008-12-23,CHI,DET,1,4,9,.444,0,1,.000,2,2,1.000,1,3,4,5,1,0,2,6,10,7.0,-2,Yes,L ,-6,20,43
29,2008-12-26,CHI,MIA,1,3,14,.214,0,0,,4,4,1.000,1,2,3,3,1,0,5,0,10,0.8,-14,Yes,L ,-13,38,21
30,2008-12-27,CHI,ATL,1,12,19,.632,1,1,1.000,2,6,.333,1,3,4,7,0,0,2,1,27,21.0,-10,Yes,L ,-12,41,31
31,2008-12-29,CHI,NJN,1,9,15,.600,1,2,.500,2,2,1.000,1,3,4,13,2,0,3,1,21,23.4,+24,Yes,W ,+13,42,33
32,2008-12-31,CHI,ORL,1,5,13,.385,0,1,.000,1,1,1.000,0,1,1,0,0,1,3,0,11,1.9,-26,Yes,L ,-19,27,25
33,2009-01-02,CHI,CLE,1,1,6,.167,0,0,,1,2,.500,0,2,2,2,0,0,1,2,3,-1.0,-10,Yes,L ,-25,22,20
34,2009-01-03,CHI,MIN,1,9,19,.474,0,1,.000,4,4,1.000,0,4,4,5,0,1,3,2,22,13.9,-12,Yes,L ,-10,39,13
35,2009-01-06,CHI,SAC,1,7,12,.583,0,1,.000,2,2,1.000,1,2,3,8,0,0,2,1,16,14.9,+14,Yes,W ,+5,35,23
36,2009-01-09,CHI,WAS,1,3,12,.250,0,0,,2,2,1.000,2,2,4,9,0,0,2,1,8,6.7,+8,Yes,W ,+12,35,19
37,2009-01-10,CHI,OKC,1,8,18,.444,0,1,.000,0,1,.000,1,2,3,6,2,0,2,1,16,11.3,-9,Yes,L ,-11,40,18
38,2009-01-12,CHI,POR,1,5,14,.357,0,2,.000,3,5,.600,2,1,3,10,1,0,2,0,13,12.1,-13,Yes,L ,-14,41,58
39,2009-01-14,CHI,TOR,1,12,18,.667,0,1,.000,1,1,1.000,2,0,2,10,0,0,1,0,25,24.6,-3,Yes,W ,+4,38,18
40,2009-01-15,CHI,CLE,1,6,20,.300,0,0,,4,6,.667,0,3,3,6,0,1,1,1,16,8.0,-8,Yes,W ,+9,44,12
42,2009-01-17,CHI,SAS,1,6,21,.286,0,1,.000,0,0,,2,1,3,8,1,0,0,2,12,7.2,-4,Yes,L ,-5,36,31
43,2009-01-19,CHI,NYK,1,9,20,.450,0,0,,2,2,1.000,2,2,4,8,0,0,3,2,20,13.4,-4,Yes,L ,-4,36,41
44,2009-01-20,CHI,ATL,1,6,13,.462,1,3,.333,0,0,,1,2,3,4,0,0,3,1,13,7.0,-13,Yes,L ,-3,31,32
45,2009-01-23,CHI,TOR,1,5,12,.417,0,1,.000,2,2,1.000,2,1,3,4,1,0,4,2,12,6.3,-25,Yes,L ,-20,31,19
46,2009-01-25,CHI,MIN,1,8,19,.421,0,1,.000,2,3,.667,1,2,3,7,2,1,5,2,18,10.6,+10,Yes,L ,-1,43,24
47,2009-01-28,CHI,LAC,1,9,13,.692,0,0,,3,4,.750,1,3,4,6,1,1,5,0,21,17.6,+28,Yes,W ,+20,33,01
48,2009-01-30,CHI,SAC,1,2,6,.333,0,0,,0,0,,1,2,3,11,2,0,4,1,4,7.2,+16,Yes,W ,+21,29,44
49,2009-01-31,CHI,PHO,1,12,19,.632,0,0,,2,2,1.000,4,2,6,4,0,0,0,1,26,23.3,+5,Yes,W ,+11,31,01
50,2009-02-03,CHI,HOU,1,6,13,.462,0,1,.000,0,0,,4,3,7,7,2,0,0,0,12,15.9,-7,Yes,L ,-7,29,35
51,2009-02-04,CHI,NOH,1,10,14,.714,0,1,.000,1,2,.500,2,2,4,6,1,0,2,2,21,19.2,+18,Yes,W ,+14,35,13
52,2009-02-07,CHI,DAL,1,11,25,.440,0,1,.000,0,0,,2,2,4,9,0,1,3,3,22,13.7,+6,Yes,L ,-1,42,47
53,2009-02-10,CHI,DET,1,10,15,.667,0,0,,3,4,.750,1,1,2,4,0,0,0,2,23,19.1,-2,Yes,W ,+5,29,29
54,2009-02-12,CHI,MIA,1,7,14,.500,0,1,.000,4,4,1.000,1,3,4,6,1,0,2,1,18,15.4,-7,Yes,L ,-2,38,54
55,2009-02-18,CHI,MIL,1,5,9,.556,0,0,,8,8,1.000,1,4,5,9,2,0,7,2,18,16.1,+3,Yes,W ,+9,36,30
56,2009-02-20,CHI,DEN,1,5,11,.455,0,0,,0,0,,3,3,6,6,1,0,4,2,10,7.7,-4,Yes,W ,+17,26,58
57,2009-02-22,CHI,IND,1,1,9,.111,0,0,,1,2,.500,2,1,3,8,1,1,1,0,3,4.7,-1,Yes,L ,-7,28,11
58,2009-02-24,CHI,ORL,1,11,20,.550,0,0,,0,0,,1,2,3,5,0,0,1,3,22,15.0,+11,Yes,W ,+18,35,02
59,2009-02-25,CHI,NJN,1,4,9,.444,0,0,,1,2,.500,2,0,2,5,0,0,0,3,9,7.6,-17,Yes,L ,-12,30,17
60,2009-02-27,CHI,WAS,1,4,10,.400,0,0,,2,5,.400,0,0,0,3,0,0,5,1,10,0.1,-22,Yes,L ,-23,34,13
61,2009-02-28,CHI,HOU,1,10,21,.476,0,2,.000,2,4,.500,3,5,8,7,1,0,2,0,22,18.0,0,Yes,W ,+3,40,00
63,2009-03-03,CHI,CHA,1,3,11,.273,0,1,.000,7,8,.875,0,4,4,5,0,0,0,1,13,10.4,-17,Yes,L ,-16,39,13
64,2009-03-04,CHI,GSW,1,6,14,.429,0,0,,2,2,1.000,0,3,3,6,0,0,3,0,14,8.7,+14,Yes,W ,+22,39,54
65,2009-03-06,CHI,MIL,1,10,18,.556,0,0,,7,7,1.000,0,1,1,6,2,0,2,2,27,22.1,+13,Yes,W ,+15,41,05
66,2009-03-09,CHI,MIA,1,9,25,.360,1,2,.500,4,4,1.000,3,6,9,3,2,0,4,4,23,11.5,-12,Yes,L ,-3,55,20
67,2009-03-11,CHI,ORL,1,2,12,.167,0,1,.000,3,4,.750,2,0,2,3,1,0,2,0,7,1.5,-21,Yes,L ,-28,29,46
68,2009-03-13,CHI,PHI,1,10,19,.526,0,2,.000,0,0,,1,5,6,6,1,0,4,0,20,14.1,+2,Yes,L ,-3,42,02
69,2009-03-14,CHI,NOH,1,2,9,.222,0,2,.000,0,0,,1,3,4,7,1,0,3,1,4,2.6,+11,Yes,W ,+18,34,20
70,2009-03-17,CHI,BOS,1,4,11,.364,0,0,,3,3,1.000,0,3,3,8,0,0,1,3,11,9.2,-3,Yes,W ,+6,34,51
71,2009-03-18,CHI,OKC,1,12,14,.857,0,0,,1,2,.500,2,4,6,3,1,0,6,3,25,18.1,+11,Yes,W ,+7,41,25
72,2009-03-21,CHI,LAL,1,10,19,.526,0,0,,5,5,1.000,4,1,5,4,0,0,4,1,25,17.2,-10,Yes,L ,-8,39,02
73,2009-03-23,CHI,WAS,1,6,15,.400,0,0,,0,0,,1,4,5,8,0,0,1,2,12,9.6,+3,Yes,W ,+2,38,58
74,2009-03-24,CHI,DET,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,No,W ,+8,00,00
75,2009-03-26,CHI,MIA,0,4,7,.571,0,0,,1,2,.500,0,5,5,7,0,0,0,0,9,11.7,+15,Yes,W ,+19,30,03
76,2009-03-28,CHI,IND,1,7,18,.389,0,0,,2,3,.667,1,8,9,8,0,0,2,2,16,11.7,-11,Yes,W ,+6,33,16
77,2009-03-29,CHI,TOR,1,9,13,.692,0,0,,5,6,.833,0,3,3,9,1,0,4,3,23,20.1,+6,Yes,L ,-5,42,24
78,2009-03-31,CHI,IND,1,12,21,.571,0,0,,0,1,.000,2,9,11,6,0,0,0,1,24,21.6,0,Yes,L ,-2,39,46
79,2009-04-04,CHI,NJN,1,7,12,.583,0,0,,1,1,1.000,2,2,4,5,2,0,2,4,15,13.3,+14,Yes,W ,+9,34,59
80,2009-04-07,CHI,NYK,1,7,17,.412,0,0,,4,5,.800,1,2,3,6,1,0,3,0,18,12.0,+2,Yes,W ,+7,38,16
81,2009-04-09,CHI,PHI,1,8,13,.615,0,3,.000,0,0,,0,2,2,8,2,1,3,1,16,15.6,+25,Yes,W ,+14,38,59
82,2009-04-11,CHI,CHA,1,10,16,.625,0,0,,2,2,1.000,1,2,3,7,2,1,1,2,22,21.9,+7,Yes,W ,+7,41,17
84,2009-04-13,CHI,DET,1,9,17,.529,0,1,.000,6,9,.667,1,4,5,8,0,1,2,0,24,20.7,+3,Yes,W ,+3,40,46
85,2009-04-15,CHI,TOR,1,7,14,.500,0,0,,6,8,.750,3,3,6,11,1,2,2,1,20,22.9,-7,Yes,L ,-11,42,37
