,Date,Tm,Opp,GS,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Game Played,Match Result,Points,Minutes Played,Seconds Played
0,2010-10-27,CHI,OKC,1,12,31,.387,0,4,.000,4,4,1.000,1,3,4,6,0,1,2,4,28,14.0,-1,Yes,L ,-11,31,19
1,2010-10-30,CHI,DET,1,13,27,.481,3,7,.429,10,13,.769,1,5,6,7,2,2,7,3,39,26.4,+15,Yes,W ,+10,38,02
2,2010-11-01,CHI,POR,1,6,11,.545,0,3,.000,4,6,.667,0,5,5,13,1,0,6,2,16,14.7,+9,Yes,W ,+12,36,35
3,2010-11-04,CHI,NYK,1,9,17,.529,2,4,.500,4,6,.667,0,1,1,14,1,0,3,2,24,22.2,-10,Yes,L ,-8,34,59
4,2010-11-05,CHI,BOS,1,8,19,.421,0,2,.000,2,2,1.000,2,3,5,9,0,0,6,2,18,9.7,-8,Yes,L ,-5,45,36
5,2010-11-08,CHI,DEN,1,7,21,.333,1,2,.500,3,5,.600,0,2,2,6,1,1,3,2,18,8.0,+6,Yes,W ,+2,39,30
6,2010-11-11,CHI,GSW,1,10,17,.588,0,3,.000,2,2,1.000,1,2,3,13,1,1,3,0,22,23.2,+31,Yes,W ,+30,36,42
7,2010-11-13,CHI,WAS,1,8,20,.400,1,4,.250,7,7,1.000,1,3,4,8,2,1,3,1,24,19.7,+12,Yes,W ,+7,36,09
8,2010-11-16,CHI,HOU,1,13,20,.650,4,5,.800,3,6,.500,1,2,3,7,3,0,3,4,33,27.6,+6,Yes,W ,+3,37,41
9,2010-11-17,CHI,SAS,1,15,27,.556,2,4,.500,1,1,1.000,0,3,3,4,0,0,4,2,33,19.0,-19,Yes,L ,-9,37,50
10,2010-11-19,CHI,DAL,1,8,17,.471,1,3,.333,5,9,.556,2,2,4,6,1,0,4,0,22,14.9,+6,Yes,W ,+5,40,51
11,2010-11-23,CHI,LAL,1,11,25,.440,2,5,.400,6,9,.667,1,4,5,8,1,1,3,1,30,21.5,+1,Yes,L ,-7,39,59
12,2010-11-24,CHI,PHO,1,14,33,.424,1,5,.200,6,6,1.000,1,11,12,7,0,1,4,6,35,20.7,+7,Yes,W ,+8,50,19
13,2010-11-26,CHI,DEN,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,No,L ,-1,00,00
14,2010-11-27,CHI,SAC,1,10,23,.435,1,4,.250,9,9,1.000,2,5,7,7,1,0,1,3,30,24.5,+10,Yes,W ,+11,42,02
15,2010-12-01,CHI,ORL,1,5,13,.385,2,4,.500,3,6,.500,0,0,0,4,0,1,3,3,15,6.0,-24,Yes,L ,-29,31,56
16,2010-12-03,CHI,BOS,1,7,17,.412,1,5,.200,5,5,1.000,0,3,3,8,0,0,4,2,20,12.6,-29,Yes,L ,-12,36,19
17,2010-12-04,CHI,HOU,1,13,28,.464,4,6,.667,0,0,,2,5,7,11,5,1,4,4,30,26.3,-4,Yes,W ,+3,44,02
18,2010-12-06,CHI,OKC,1,3,13,.231,1,2,.500,4,4,1.000,1,3,4,9,2,1,5,2,11,7.9,+13,Yes,W ,+9,38,13
19,2010-12-08,CHI,CLE,1,11,22,.500,3,6,.500,4,6,.667,1,3,4,8,0,0,3,0,29,21.4,+3,Yes,W ,+5,37,43
21,2010-12-10,CHI,LAL,1,12,25,.480,3,5,.600,2,4,.500,2,3,5,9,0,0,4,2,29,19.3,+8,Yes,W ,+4,39,26
22,2010-12-11,CHI,MIN,1,8,10,.800,5,6,.833,0,0,,1,2,3,7,0,1,3,1,21,20.7,+19,Yes,W ,+31,29,31
23,2010-12-13,CHI,IND,1,6,18,.333,3,6,.500,2,3,.667,1,5,6,12,1,0,3,3,17,13.8,+25,Yes,W ,+19,38,45
24,2010-12-15,CHI,TOR,1,3,9,.333,0,2,.000,0,0,,2,1,3,11,2,0,5,0,6,7.3,+22,Yes,W ,+17,29,37
25,2010-12-18,CHI,LAC,1,12,24,.500,3,6,.500,7,9,.778,2,4,6,8,0,2,4,1,34,26.4,+8,Yes,L ,-1,41,09
26,2010-12-21,CHI,PHI,1,7,13,.538,2,4,.500,6,6,1.000,0,5,5,12,1,0,0,1,22,26.2,+41,Yes,W ,+45,29,10
27,2010-12-22,CHI,WAS,1,9,21,.429,0,6,.000,7,10,.700,1,4,5,5,1,3,4,4,25,15.6,+1,Yes,W ,+7,38,10
28,2010-12-25,CHI,NYK,1,12,28,.429,0,2,.000,1,3,.333,2,5,7,8,6,0,7,2,25,16.1,-3,Yes,L ,-8,41,21
29,2010-12-26,CHI,DET,1,9,23,.391,0,3,.000,5,6,.833,1,11,12,8,2,0,6,2,23,14.9,+9,Yes,W ,+3,41,14
30,2010-12-28,CHI,MIL,1,7,17,.412,3,4,.750,1,1,1.000,1,5,6,12,1,0,2,1,18,18.1,+13,Yes,W ,+13,39,50
31,2010-12-31,CHI,NJN,1,5,16,.313,2,6,.333,7,7,1.000,1,3,4,9,0,0,1,0,19,16.7,+4,Yes,W ,+9,39,28
