,Date,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Match Result,Points
43,2009-01-19,CHI,NYK,1,36:41,9,20,.450,0,0,,2,2,1.000,2,2,4,8,0,0,3,2,20,13.4,-4,L ,-4
44,2009-01-20,CHI,ATL,1,31:32,6,13,.462,1,3,.333,0,0,,1,2,3,4,0,0,3,1,13,7.0,-13,L ,-3
45,2009-01-23,CHI,TOR,1,31:19,5,12,.417,0,1,.000,2,2,1.000,2,1,3,4,1,0,4,2,12,6.3,-25,L ,-20
46,2009-01-25,CHI,MIN,1,43:24,8,19,.421,0,1,.000,2,3,.667,1,2,3,7,2,1,5,2,18,10.6,+10,L ,-1
47,2009-01-28,CHI,LAC,1,33:01,9,13,.692,0,0,,3,4,.750,1,3,4,6,1,1,5,0,21,17.6,+28,W ,+20
48,2009-01-30,CHI,SAC,1,29:44,2,6,.333,0,0,,0,0,,1,2,3,11,2,0,4,1,4,7.2,+16,W ,+21
49,2009-01-31,CHI,PHO,1,31:01,12,19,.632,0,0,,2,2,1.000,4,2,6,4,0,0,0,1,26,23.3,+5,W ,+11
50,2009-02-03,CHI,HOU,1,29:35,6,13,.462,0,1,.000,0,0,,4,3,7,7,2,0,0,0,12,15.9,-7,L ,-7
51,2009-02-04,CHI,NOH,1,35:13,10,14,.714,0,1,.000,1,2,.500,2,2,4,6,1,0,2,2,21,19.2,+18,W ,+14
52,2009-02-07,CHI,DAL,1,42:47,11,25,.440,0,1,.000,0,0,,2,2,4,9,0,1,3,3,22,13.7,+6,L ,-1
53,2009-02-10,CHI,DET,1,29:29,10,15,.667,0,0,,3,4,.750,1,1,2,4,0,0,0,2,23,19.1,-2,W ,+5
54,2009-02-12,CHI,MIA,1,38:54,7,14,.500,0,1,.000,4,4,1.000,1,3,4,6,1,0,2,1,18,15.4,-7,L ,-2
55,2009-02-18,CHI,MIL,1,36:30,5,9,.556,0,0,,8,8,1.000,1,4,5,9,2,0,7,2,18,16.1,+3,W ,+9
56,2009-02-20,CHI,DEN,1,26:58,5,11,.455,0,0,,0,0,,3,3,6,6,1,0,4,2,10,7.7,-4,W ,+17
57,2009-02-22,CHI,IND,1,28:11,1,9,.111,0,0,,1,2,.500,2,1,3,8,1,1,1,0,3,4.7,-1,L ,-7
58,2009-02-24,CHI,ORL,1,35:02,11,20,.550,0,0,,0,0,,1,2,3,5,0,0,1,3,22,15.0,+11,W ,+18
59,2009-02-25,CHI,NJN,1,30:17,4,9,.444,0,0,,1,2,.500,2,0,2,5,0,0,0,3,9,7.6,-17,L ,-12
60,2009-02-27,CHI,WAS,1,34:13,4,10,.400,0,0,,2,5,.400,0,0,0,3,0,0,5,1,10,0.1,-22,L ,-23
61,2009-02-28,CHI,HOU,1,40:00,10,21,.476,0,2,.000,2,4,.500,3,5,8,7,1,0,2,0,22,18.0,0,W ,+3
63,2009-03-03,CHI,CHA,1,39:13,3,11,.273,0,1,.000,7,8,.875,0,4,4,5,0,0,0,1,13,10.4,-17,L ,-16
64,2009-03-04,CHI,GSW,1,39:54,6,14,.429,0,0,,2,2,1.000,0,3,3,6,0,0,3,0,14,8.7,+14,W ,+22
65,2009-03-06,CHI,MIL,1,41:05,10,18,.556,0,0,,7,7,1.000,0,1,1,6,2,0,2,2,27,22.1,+13,W ,+15
66,2009-03-09,CHI,MIA,1,55:20,9,25,.360,1,2,.500,4,4,1.000,3,6,9,3,2,0,4,4,23,11.5,-12,L ,-3
67,2009-03-11,CHI,ORL,1,29:46,2,12,.167,0,1,.000,3,4,.750,2,0,2,3,1,0,2,0,7,1.5,-21,L ,-28
68,2009-03-13,CHI,PHI,1,42:02,10,19,.526,0,2,.000,0,0,,1,5,6,6,1,0,4,0,20,14.1,+2,L ,-3
69,2009-03-14,CHI,NOH,1,34:20,2,9,.222,0,2,.000,0,0,,1,3,4,7,1,0,3,1,4,2.6,+11,W ,+18
70,2009-03-17,CHI,BOS,1,34:51,4,11,.364,0,0,,3,3,1.000,0,3,3,8,0,0,1,3,11,9.2,-3,W ,+6
71,2009-03-18,CHI,OKC,1,41:25,12,14,.857,0,0,,1,2,.500,2,4,6,3,1,0,6,3,25,18.1,+11,W ,+7
72,2009-03-21,CHI,LAL,1,39:02,10,19,.526,0,0,,5,5,1.000,4,1,5,4,0,0,4,1,25,17.2,-10,L ,-8
73,2009-03-23,CHI,WAS,1,38:58,6,15,.400,0,0,,0,0,,1,4,5,8,0,0,1,2,12,9.6,+3,W ,+2
74,2009-03-24,CHI,DET,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,W ,+8
75,2009-03-26,CHI,MIA,0,30:03,4,7,.571,0,0,,1,2,.500,0,5,5,7,0,0,0,0,9,11.7,+15,W ,+19
76,2009-03-28,CHI,IND,1,33:16,7,18,.389,0,0,,2,3,.667,1,8,9,8,0,0,2,2,16,11.7,-11,W ,+6
77,2009-03-29,CHI,TOR,1,42:24,9,13,.692,0,0,,5,6,.833,0,3,3,9,1,0,4,3,23,20.1,+6,L ,-5
78,2009-03-31,CHI,IND,1,39:46,12,21,.571,0,0,,0,1,.000,2,9,11,6,0,0,0,1,24,21.6,0,L ,-2
79,2009-04-04,CHI,NJN,1,34:59,7,12,.583,0,0,,1,1,1.000,2,2,4,5,2,0,2,4,15,13.3,+14,W ,+9
80,2009-04-07,CHI,NYK,1,38:16,7,17,.412,0,0,,4,5,.800,1,2,3,6,1,0,3,0,18,12.0,+2,W ,+7
81,2009-04-09,CHI,PHI,1,38:59,8,13,.615,0,3,.000,0,0,,0,2,2,8,2,1,3,1,16,15.6,+25,W ,+14
82,2009-04-11,CHI,CHA,1,41:17,10,16,.625,0,0,,2,2,1.000,1,2,3,7,2,1,1,2,22,21.9,+7,W ,+7
84,2009-04-13,CHI,DET,1,40:46,9,17,.529,0,1,.000,6,9,.667,1,4,5,8,0,1,2,0,24,20.7,+3,W ,+3
85,2009-04-15,CHI,TOR,1,42:37,7,14,.500,0,0,,6,8,.750,3,3,6,11,1,2,2,1,20,22.9,-7,L ,-11
