,Date,Tm,Opp,GS,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Game Played,Match Result,Points,Minutes Played,Seconds Played
0,2020-12-23,DET,MIN,0,7,13,.538,1,3,.333,0,2,.000,0,1,1,6,2,1,1,1,15,13.7,-7,Yes,L ,-10,26,48
1,2020-12-26,DET,CLE,0,4,15,.267,1,2,.500,4,6,.667,1,3,4,4,0,0,6,1,13,1.3,-3,Yes,L ,-9,33,07
2,2020-12-28,DET,ATL,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,No,L ,-8,00,00
3,2020-12-29,DET,GSW,0,6,18,.333,1,4,.250,2,2,1.000,1,1,2,7,2,0,2,4,15,9.1,+8,Yes,L ,-10,26,26
4,2021-01-01,DET,BOS,0,7,12,.583,0,3,.000,3,4,.750,0,5,5,4,2,0,4,2,17,12.5,+4,Yes,W ,+3,24,11
5,2021-01-03,DET,BOS,0,4,12,.333,1,3,.333,4,4,1.000,1,0,1,8,0,1,4,0,13,9.2,+6,Yes,L ,-2,23,29
6,2021-01-04,DET,MIL,0,9,18,.500,2,4,.500,4,4,1.000,0,2,2,8,1,0,0,1,24,21.8,+4,Yes,L ,-10,24,38
7,2021-01-06,DET,MIL,0,3,7,.429,0,1,.000,4,4,1.000,0,1,1,1,0,0,0,1,10,6.9,-6,Yes,L ,-15,11,03
8,2021-01-08,DET,PHO,0,1,7,.143,0,1,.000,2,2,1.000,0,0,0,5,1,1,2,1,4,2.3,-13,Yes,W ,+5,19,25
9,2021-01-10,DET,UTA,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,No,L ,-10,00,00
10,2021-01-13,DET,MIL,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,No,L ,-9,00,00
11,2021-01-16,DET,MIA,0,8,12,.667,3,5,.600,4,5,.800,0,1,1,4,4,0,1,2,23,22.7,+2,Yes,W ,+20,21,18
12,2021-01-18,DET,MIA,0,6,11,.545,1,4,.250,8,9,.889,0,3,3,4,2,0,3,1,21,17.6,-6,Yes,L ,-6,26,34
13,2021-01-20,DET,ATL,0,7,15,.467,0,1,.000,0,0,,0,1,1,1,1,1,1,2,14,7.2,-14,Yes,L ,-8,28,30
14,2021-01-22,DET,HOU,0,3,11,.273,1,2,.500,2,2,1.000,1,4,5,3,0,0,1,1,9,5.1,-11,Yes,L ,-1,19,33
15,2021-01-23,DET,PHI,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,No,L ,-4,00,00
16,2021-01-25,DET,PHI,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,No,W ,+15,00,00
17,2021-01-27,DET,CLE,0,5,10,.500,2,3,.667,1,2,.500,0,0,0,3,0,0,2,0,13,7.7,-28,Yes,L ,-15,19,07
18,2021-01-28,DET,LAL,0,6,12,.500,0,2,.000,2,2,1.000,0,1,1,3,2,0,2,0,14,10.4,-6,Yes,W ,+15,20,21
19,2021-01-30,DET,GSW,0,3,11,.273,0,1,.000,2,2,1.000,2,0,2,2,1,0,0,0,8,5.3,-1,Yes,L ,-27,17,03
21,2021-02-02,DET,UTA,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,No,L ,-12,00,00
22,2021-02-05,DET,PHO,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,No,L ,-17,00,00
23,2021-02-06,DET,LAL,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,No,L ,-6,00,00
24,2021-02-09,NYK,MIA,0,5,9,.556,2,3,.667,2,2,1.000,0,1,1,3,1,1,2,0,14,11.8,+6,Yes,L ,-2,20,20
25,2021-02-12,NYK,WAS,0,7,11,.636,0,1,.000,0,0,,0,3,3,6,4,0,2,0,14,16.2,+18,Yes,W ,+18,19,58
26,2021-02-13,NYK,HOU,0,5,11,.455,1,3,.333,5,7,.714,0,1,1,3,0,0,1,0,16,10.9,+18,Yes,W ,+22,22,32
27,2021-02-15,NYK,ATL,0,3,9,.333,0,1,.000,2,2,1.000,0,3,3,3,0,2,2,4,8,3.7,+8,Yes,W ,+11,23,37
28,2021-02-17,NYK,ORL,0,1,10,.100,0,1,.000,2,2,1.000,1,5,6,2,0,0,1,0,4,0.0,-15,Yes,L ,-18,16,33
29,2021-02-21,NYK,MIN,0,1,8,.125,0,1,.000,2,2,1.000,0,1,1,2,1,0,1,1,4,0.1,-12,Yes,W ,+4,18,44
30,2021-02-23,NYK,GSW,0,6,15,.400,2,4,.500,2,2,1.000,0,4,4,8,1,1,1,1,16,15.0,+12,Yes,L ,-8,27,10
31,2021-02-25,NYK,SAC,1,7,11,.636,2,2,1.000,2,2,1.000,0,3,3,6,0,0,3,2,18,14.4,+4,Yes,W ,+19,27,35
32,2021-02-27,NYK,IND,1,6,11,.545,1,3,.333,4,4,1.000,0,1,1,11,4,0,4,2,17,18.9,+11,Yes,W ,+3,37,42
33,2021-02-28,NYK,DET,1,6,14,.429,2,3,.667,0,1,.000,0,3,3,5,0,2,2,2,14,9.2,+17,Yes,W ,+19,32,09
34,2021-03-02,NYK,SAS,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,No,L ,-26,00,00
35,2021-03-04,NYK,DET,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,No,W ,+10,00,00
36,2021-03-11,NYK,MIL,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,No,L ,-33,00,00
37,2021-03-13,NYK,OKC,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,No,W ,+22,00,00
38,2021-03-15,NYK,BRK,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,No,L ,-5,00,00
39,2021-03-16,NYK,PHI,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,No,L ,-3,00,00
