,Date,Tm,Opp,GS,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Game Played,Match Result,Points,Minutes Played,Seconds Played
0,2016-10-25,NYK,CLE,1,7,17,.412,1,2,.500,2,2,1.000,2,1,3,1,0,1,4,1,17,6.6,-19,Yes,L ,-29,29,35
1,2016-10-29,NYK,MEM,1,6,13,.462,0,1,.000,1,2,.500,1,3,4,3,2,1,0,2,13,11.5,+7,Yes,W ,+7,32,16
2,2016-11-01,NYK,DET,1,8,17,.471,0,1,.000,3,3,1.000,1,4,5,2,0,1,2,0,19,12.3,-4,Yes,L ,-13,31,41
3,2016-11-02,NYK,HOU,1,8,18,.444,0,0,,0,0,,1,3,4,4,2,0,2,2,16,10.2,-15,Yes,L ,-19,29,44
4,2016-11-04,NYK,CHI,1,6,16,.375,0,0,,3,3,1.000,0,7,7,11,1,1,3,2,15,13.9,+12,Yes,W ,+13,38,06
5,2016-11-06,NYK,UTA,1,7,14,.500,0,0,,4,4,1.000,2,2,4,8,1,0,4,3,18,14.4,+1,Yes,L ,-5,36,11
6,2016-11-09,NYK,BRK,1,6,10,.600,1,1,1.000,1,2,.500,1,2,3,4,0,0,2,1,14,10.7,-10,Yes,W ,+14,22,11
7,2016-11-11,NYK,BOS,1,3,10,.300,1,3,.333,4,4,1.000,0,4,4,6,0,0,7,4,11,2.0,-10,Yes,L ,-28,27,06
8,2016-11-12,NYK,TOR,1,10,20,.500,0,3,.000,1,2,.500,2,2,4,4,0,0,4,0,21,11.4,0,Yes,L ,-11,38,08
9,2016-11-14,NYK,DAL,1,1,6,.167,0,1,.000,1,2,.500,0,4,4,5,0,0,5,4,3,-3.1,+20,Yes,W ,+16,27,32
10,2016-11-16,NYK,DET,1,7,15,.467,0,2,.000,1,2,.500,0,5,5,3,0,1,1,1,15,9.8,+2,Yes,W ,+3,34,19
11,2016-11-17,NYK,WAS,1,8,18,.444,3,5,.600,8,8,1.000,2,0,2,4,1,0,2,1,27,20.4,-8,Yes,L ,-7,38,37
12,2016-11-20,NYK,ATL,1,5,14,.357,0,2,.000,4,4,1.000,1,2,3,7,0,0,4,0,14,8.4,+12,Yes,W ,+10,29,50
13,2016-11-22,NYK,POR,1,8,15,.533,0,0,,2,2,1.000,2,2,4,5,2,1,1,4,18,16.3,-3,Yes,W ,+4,28,05
14,2016-11-25,NYK,CHO,1,6,13,.462,0,1,.000,4,5,.800,2,1,3,5,1,1,3,1,16,12.4,+7,Yes,W ,+2,38,07
15,2016-11-26,NYK,CHO,1,6,20,.300,1,3,.333,5,6,.833,5,3,8,8,2,2,1,3,18,17.2,-9,Yes,L ,-5,34,09
16,2016-11-28,NYK,OKC,1,10,20,.500,0,2,.000,10,10,1.000,2,5,7,4,0,0,1,0,30,24.7,-1,Yes,L ,-9,38,02
17,2016-11-30,NYK,MIN,1,5,12,.417,1,3,.333,0,0,,0,0,0,2,1,0,2,4,11,3.4,-9,Yes,W ,+2,23,35
18,2016-12-02,NYK,MIN,1,9,15,.600,0,1,.000,6,10,.600,1,4,5,5,1,0,1,1,24,20.5,+13,Yes,W ,+4,33,54
19,2016-12-04,NYK,SAC,1,9,14,.643,0,0,,2,3,.667,2,4,6,6,0,0,4,1,20,15.8,-2,Yes,W ,+8,33,37
21,2016-12-06,NYK,MIA,1,4,12,.333,0,1,.000,2,2,1.000,1,1,2,3,2,0,1,0,10,7.3,+7,Yes,W ,+11,24,55
22,2016-12-07,NYK,CLE,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,No,L ,-32,00,00
23,2016-12-09,NYK,SAC,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,No,W ,+3,00,00
24,2016-12-11,NYK,LAL,1,12,16,.750,0,1,.000,1,2,.500,0,3,3,2,0,1,2,1,25,18.8,+13,Yes,W ,+6,33,55
25,2016-12-13,NYK,PHO,1,0,6,.000,0,1,.000,2,2,1.000,0,1,1,0,0,0,0,0,2,-1.9,-5,Yes,L ,-2,9,54
26,2016-12-15,NYK,GSW,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,No,L ,-13,00,00
27,2016-12-17,NYK,DEN,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,No,L ,-13,00,00
28,2016-12-20,NYK,IND,1,9,18,.500,0,0,,6,7,.857,0,4,4,6,0,2,4,0,24,17.4,+10,Yes,W ,+7,35,54
29,2016-12-22,NYK,ORL,1,7,16,.438,1,2,.500,4,4,1.000,1,4,5,3,0,0,0,2,19,13.8,-4,Yes,W ,+11,26,02
30,2016-12-25,NYK,BOS,1,10,19,.526,0,0,,5,6,.833,3,2,5,3,0,0,3,3,25,15.9,-5,Yes,L ,-5,37,50
31,2016-12-28,NYK,ATL,1,9,28,.321,0,2,.000,8,9,.889,2,5,7,6,0,0,2,3,26,13.5,+6,Yes,L ,-4,42,33
32,2016-12-30,NYK,NOP,1,9,21,.429,1,2,.500,1,1,1.000,0,2,2,1,3,0,4,2,20,8.4,-7,Yes,L ,-12,38,18
33,2016-12-31,NYK,HOU,1,8,23,.348,1,3,.333,4,5,.800,2,3,5,7,2,0,0,0,21,16.9,-9,Yes,L ,-7,40,43
34,2017-01-02,NYK,ORL,1,8,15,.533,0,1,.000,2,2,1.000,2,1,3,4,0,0,3,0,18,12.2,-8,Yes,L ,-12,28,14
35,2017-01-04,NYK,MIL,1,7,18,.389,1,2,.500,0,0,,0,3,3,4,1,0,5,0,15,4.9,+7,Yes,L ,-1,33,21
36,2017-01-06,NYK,MIL,1,4,14,.286,0,1,.000,4,4,1.000,0,2,2,8,0,0,1,1,12,8.6,-2,Yes,W ,+5,31,46
37,2017-01-07,NYK,IND,1,6,12,.500,0,2,.000,2,2,1.000,0,2,2,3,2,0,2,2,14,9.9,-7,Yes,L ,-14,25,54
38,2017-01-09,NYK,NOP,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,No,L ,-14,00,00
39,2017-01-11,NYK,PHI,1,11,16,.688,0,0,,3,4,.750,0,2,2,4,1,0,2,1,25,19.8,-21,Yes,L ,-1,31,41
40,2017-01-12,NYK,CHI,1,7,15,.467,0,0,,3,3,1.000,0,4,4,3,0,0,2,0,17,10.6,+15,Yes,W ,+15,34,12
42,2017-01-15,NYK,TOR,1,6,12,.500,0,0,,4,5,.800,0,2,2,3,0,1,2,0,16,11.0,-23,Yes,L ,-15,29,29
43,2017-01-16,NYK,ATL,1,8,16,.500,0,0,,2,4,.500,1,3,4,9,1,1,6,4,18,11.2,+3,Yes,L ,-1,31,59
44,2017-01-18,NYK,BOS,1,13,24,.542,0,0,,4,4,1.000,4,6,10,5,2,2,4,3,30,24.7,-1,Yes,W ,+11,32,46
45,2017-01-19,NYK,WAS,1,7,16,.438,0,0,,6,6,1.000,2,3,5,2,0,0,1,0,20,14.3,-12,Yes,L ,-3,31,34
46,2017-01-21,NYK,PHO,1,12,26,.462,0,1,.000,2,2,1.000,3,0,3,5,0,0,0,2,26,17.4,+1,Yes,L ,-2,36,05
47,2017-01-23,NYK,IND,1,7,16,.438,0,1,.000,6,6,1.000,0,3,3,6,0,0,4,1,20,12.3,+8,Yes,W ,+6,40,23
48,2017-01-25,NYK,DAL,1,6,15,.400,1,1,1.000,0,0,,2,1,3,3,0,0,3,2,13,4.9,-13,Yes,L ,-8,35,04
49,2017-01-27,NYK,CHO,1,5,10,.500,0,0,,3,3,1.000,1,1,2,4,2,0,2,2,13,11.0,-14,Yes,W ,+3,21,37
50,2017-01-29,NYK,ATL,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,No,L ,-3,00,00
51,2017-01-31,NYK,WAS,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,No,L ,-16,00,00
52,2017-02-01,NYK,BRK,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,No,W ,+5,00,00
53,2017-02-04,NYK,CLE,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,No,L ,-7,00,00
54,2017-02-06,NYK,LAL,1,2,8,.250,0,1,.000,1,1,1.000,0,4,4,3,0,0,3,2,5,-0.3,-12,Yes,L ,-14,31,34
55,2017-02-08,NYK,LAC,1,10,16,.625,0,1,.000,0,0,,2,5,7,8,1,0,3,1,20,18.9,-9,Yes,L ,-4,37,21
56,2017-02-10,NYK,DEN,1,6,9,.667,0,0,,1,1,1.000,1,2,3,4,1,0,1,0,13,13.2,-15,Yes,L ,-8,27,54
57,2017-02-12,NYK,SAS,1,6,11,.545,0,0,,6,8,.750,0,4,4,2,0,1,3,0,18,12.2,+6,Yes,W ,+4,30,21
58,2017-02-15,NYK,OKC,1,11,21,.524,0,0,,3,3,1.000,1,3,4,7,2,0,3,2,25,19.4,-10,Yes,L ,-11,38,12
59,2017-02-23,NYK,CLE,1,6,14,.429,0,0,,1,1,1.000,0,2,2,4,0,0,1,1,13,7.6,-12,Yes,L ,-15,31,58
60,2017-02-25,NYK,PHI,1,8,17,.471,0,1,.000,2,2,1.000,0,5,5,3,0,0,1,1,18,11.5,+1,Yes,W ,+1,36,01
61,2017-02-27,NYK,TOR,1,5,12,.417,0,1,.000,6,6,1.000,0,6,6,4,2,0,3,3,16,12.0,+8,Yes,L ,-1,40,16
63,2017-03-01,NYK,ORL,1,8,14,.571,0,1,.000,3,5,.600,2,6,8,4,1,0,3,1,19,15.2,+17,Yes,W ,+11,32,38
64,2017-03-03,NYK,PHI,1,5,13,.385,0,0,,10,13,.769,1,3,4,5,2,0,3,0,20,15.8,+6,Yes,L ,-3,38,00
65,2017-03-05,NYK,GSW,1,9,18,.500,0,1,.000,10,11,.909,0,1,1,4,1,0,2,4,28,19.1,-8,Yes,L ,-7,34,46
66,2017-03-06,NYK,ORL,1,2,9,.222,0,0,,8,8,1.000,0,5,5,6,0,0,2,0,12,10.2,-23,Yes,W ,+8,27,14
67,2017-03-08,NYK,MIL,1,13,16,.813,0,0,,0,0,,0,1,1,6,0,0,2,0,26,22.5,+4,Yes,L ,-11,38,43
68,2017-03-11,NYK,DET,1,5,12,.417,0,1,.000,1,2,.500,1,1,2,2,1,0,4,0,11,3.6,-11,Yes,L ,-20,26,54
69,2017-03-12,NYK,BRK,1,5,15,.333,0,0,,7,8,.875,3,2,5,2,2,0,0,2,17,13.4,-6,Yes,L ,-8,37,09
70,2017-03-14,NYK,IND,1,7,12,.583,0,1,.000,2,2,1.000,0,2,2,4,0,0,0,0,16,13.8,-1,Yes,W ,+6,31,56
71,2017-03-16,NYK,BRK,1,7,17,.412,0,0,,8,9,.889,0,2,2,2,0,0,2,2,22,11.7,-13,Yes,L ,-11,33,17
72,2017-03-20,NYK,LAC,1,6,11,.545,0,0,,6,6,1.000,1,3,4,5,0,0,1,1,18,16.4,-20,Yes,L ,-9,27,34
73,2017-03-22,NYK,UTA,1,7,12,.583,0,0,,3,3,1.000,0,1,1,6,0,0,3,0,17,12.9,-5,Yes,L ,-7,32,17
74,2017-03-23,NYK,POR,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,No,L ,-15,00,00
75,2017-03-25,NYK,SAS,1,10,22,.455,0,0,,4,4,1.000,3,2,5,5,0,0,1,0,24,17.8,+2,Yes,L ,-8,36,14
76,2017-03-27,NYK,DET,1,12,17,.706,0,0,,3,3,1.000,0,4,4,6,1,0,0,0,27,26.3,+13,Yes,W ,+14,32,38
77,2017-03-29,NYK,MIA,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,No,L ,-17,00,00
78,2017-03-31,NYK,MIA,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,No,W ,+4,00,00
79,2017-04-02,NYK,BOS,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,No,L ,-16,00,00
80,2017-04-04,NYK,CHI,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,No,W ,+9,00,00
81,2017-04-06,NYK,WAS,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,No,L ,-3,00,00
82,2017-04-07,NYK,MEM,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,No,L ,-13,00,00
84,2017-04-09,NYK,TOR,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,No,L ,-13,00,00
85,2017-04-12,NYK,PHI,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,No,W ,+1,00,00
