,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
63,61,61,2010-03-04,21-151,CHI,,MEM,L (-9),1,38:28,9,21,.429,0,0,,2,2,1.000,1,2,3,3,2,1,3,1,20,11.6,-8
64,62,62,2010-03-06,21-153,CHI,,DAL,L (-6),1,42:10,15,22,.682,0,2,.000,4,4,1.000,0,0,0,8,0,0,2,2,34,27.4,+2
65,63,63,2010-03-09,21-156,CHI,,UTA,L (-24),1,38:56,10,19,.526,0,0,,5,6,.833,2,2,4,13,0,0,5,0,25,21.4,-22
66,64,64,2010-03-11,21-158,CHI,@,ORL,L (-29),1,12:00,1,4,.250,0,0,,1,2,.500,0,0,0,2,0,0,0,1,3,1.2,-11
67,65,,2010-03-12,21-159,CHI,@,MIA,L (-13),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
68,66,,2010-03-16,21-163,CHI,@,MEM,L (-7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
69,67,,2010-03-17,21-164,CHI,@,DAL,L (-7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
70,68,,2010-03-19,21-166,CHI,,CLE,L (-7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
71,69,65,2010-03-20,21-167,CHI,@,PHI,W (+14),1,37:23,9,16,.563,4,6,.667,1,1,1.000,0,4,4,5,1,1,1,3,23,19.6,+18
72,70,66,2010-03-22,21-169,CHI,,HOU,W (+10),1,46:35,12,22,.545,2,7,.286,1,4,.250,2,5,7,8,0,1,4,3,27,19.2,+9
73,71,67,2010-03-25,21-172,CHI,,MIA,L (-29),1,32:42,5,16,.313,0,2,.000,2,4,.500,1,4,5,5,0,0,1,0,12,6.4,-33
74,72,68,2010-03-27,21-174,CHI,,NJN,W (+23),1,35:29,3,12,.250,0,0,,1,2,.500,0,5,5,9,1,1,0,0,7,8.9,+19
75,73,69,2010-03-28,21-175,CHI,@,DET,W (+7),1,35:56,7,13,.538,0,1,.000,7,8,.875,0,3,3,9,1,1,1,1,21,21.8,0
76,74,70,2010-03-30,21-177,CHI,,PHO,L (-6),1,42:30,7,16,.438,1,4,.250,8,9,.889,1,4,5,10,1,0,1,0,23,23.1,-3
77,75,71,2010-04-02,21-180,CHI,@,WAS,W (+8),1,40:49,10,19,.526,0,1,.000,4,4,1.000,2,2,4,5,0,0,3,0,24,17.2,0
78,76,72,2010-04-03,21-181,CHI,,CHA,W (+8),1,40:42,10,19,.526,0,1,.000,6,6,1.000,0,4,4,5,0,1,3,0,26,19.1,+6
79,77,73,2010-04-06,21-184,CHI,,MIL,L (-5),1,38:07,5,12,.417,0,0,,2,2,1.000,0,5,5,11,1,0,6,3,12,8.6,0
80,78,74,2010-04-08,21-186,CHI,,CLE,W (+1),1,38:16,10,17,.588,1,3,.333,3,7,.429,0,3,3,10,1,0,4,3,24,18.2,+6
81,79,75,2010-04-09,21-187,CHI,@,NJN,L (-11),1,47:44,9,19,.474,0,1,.000,7,12,.583,0,6,6,6,0,0,7,6,25,9.9,-4
82,80,76,2010-04-11,21-189,CHI,@,TOR,W (+16),1,37:39,12,23,.522,0,3,.000,2,2,1.000,1,3,4,7,1,1,1,0,26,21.9,+7
83,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
84,81,77,2010-04-13,21-191,CHI,,BOS,W (+8),1,45:35,15,22,.682,0,0,,9,10,.900,2,3,5,7,0,3,2,2,39,35.7,+12
85,82,78,2010-04-14,21-192,CHI,@,CHA,W (+9),1,42:59,10,19,.526,2,4,.500,5,6,.833,2,0,2,5,2,1,5,0,27,19.9,+8
