,Date,Tm,Opp,GS,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Game Played,Match Result,Points,Minutes Played,Seconds Played
0,2019-10-23,DET,IND,0,6,11,.545,0,0,,6,7,.857,1,2,3,9,0,0,4,1,18,15.5,+5,Yes,W ,+9,26,35
1,2019-10-24,DET,ATL,0,11,16,.688,0,1,.000,5,5,1.000,0,1,1,3,0,0,3,1,27,19.2,-8,Yes,L ,-17,25,16
2,2019-10-26,DET,PHI,0,14,21,.667,1,1,1.000,2,2,1.000,0,3,3,3,3,2,6,2,31,22.5,-3,Yes,L ,-6,26,44
3,2019-10-28,DET,IND,0,4,16,.250,0,0,,2,2,1.000,1,0,1,6,0,0,4,2,10,0.5,-1,Yes,W ,+2,26,04
4,2019-10-30,DET,TOR,0,7,12,.583,0,2,.000,2,2,1.000,0,0,0,10,0,0,2,0,16,15.4,+1,Yes,L ,-12,20,32
5,2019-11-01,DET,CHI,0,8,13,.615,0,0,,7,9,.778,0,1,1,7,3,1,4,2,23,20.4,+6,Yes,L ,-6,24,40
6,2019-11-02,DET,BRK,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,No,W ,+4,00,00
7,2019-11-04,DET,WAS,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,No,L ,-16,00,00
8,2019-11-06,DET,NYK,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,No,W ,+20,00,00
9,2019-11-08,DET,IND,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,No,L ,-6,00,00
10,2019-11-11,DET,MIN,1,3,13,.231,0,2,.000,0,0,,1,2,3,5,2,1,0,0,6,5.6,+1,Yes,L ,-6,19,54
