,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Tm,Opp,GS,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Game Played,Match Result,Points,Minutes Played,Seconds Played,Trp Dbl,Team
541,854,62,65,2019-03-03,MIN,WAS,0,8,17,0.471,0,1,0.0,2,2,1.0,1,1,2,3,0,0,1,1,18,11.0,-7,Yes,L ,-14,24,19,No,Minnesota
542,855,63,66,2019-03-05,MIN,OKC,0,8,14,0.571,0,1,0.0,3,3,1.0,1,3,4,2,0,0,1,2,19,13.6,-4,Yes,W ,11,19,47,No,Minnesota
543,856,64,67,2019-03-06,MIN,DET,0,4,9,0.444,0,1,0.0,0,0,,0,1,1,2,0,0,0,2,8,4.2,-12,Yes,L ,-17,19,23,No,Minnesota
544,857,65,68,2019-03-09,MIN,WAS,0,13,23,0.565,0,2,0.0,3,4,0.75,1,2,3,3,1,0,2,1,29,19.7,10,Yes,W ,5,30,24,No,Minnesota
545,858,66,69,2019-03-10,MIN,NYK,0,2,5,0.4,0,0,,0,0,,1,0,1,1,1,0,1,0,4,2.7,1,Yes,W ,11,7,58,No,Minnesota
546,874,0,0,2019-10-23,DET,IND,0,6,11,0.545,0,0,,6,7,0.857,1,2,3,9,0,0,4,1,18,15.5,5,Yes,W ,9,26,35,No,Michigan
547,875,1,1,2019-10-24,DET,ATL,0,11,16,0.688,0,1,0.0,5,5,1.0,0,1,1,3,0,0,3,1,27,19.2,-8,Yes,L ,-17,25,16,No,Michigan
548,876,2,2,2019-10-26,DET,PHI,0,14,21,0.667,1,1,1.0,2,2,1.0,0,3,3,3,3,2,6,2,31,22.5,-3,Yes,L ,-6,26,44,No,Michigan
549,877,3,3,2019-10-28,DET,IND,0,4,16,0.25,0,0,,2,2,1.0,1,0,1,6,0,0,4,2,10,0.5,-1,Yes,W ,2,26,4,No,Michigan
550,878,4,4,2019-10-30,DET,TOR,0,7,12,0.583,0,2,0.0,2,2,1.0,0,0,0,10,0,0,2,0,16,15.4,1,Yes,L ,-12,20,32,No,Michigan
551,879,5,5,2019-11-01,DET,CHI,0,8,13,0.615,0,0,,7,9,0.778,0,1,1,7,3,1,4,2,23,20.4,6,Yes,L ,-6,24,40,No,Michigan
552,884,10,10,2019-11-11,DET,MIN,1,3,13,0.231,0,2,0.0,0,0,,1,2,3,5,2,1,0,0,6,5.6,1,Yes,L ,-6,19,54,No,Michigan
553,886,12,12,2019-11-15,DET,CHO,0,6,7,0.857,2,2,1.0,2,2,1.0,0,2,2,3,0,0,6,2,16,9.4,-3,Yes,L ,-3,26,2,No,Michigan
554,887,13,13,2019-11-20,DET,CHI,0,5,11,0.455,0,2,0.0,8,9,0.889,1,2,3,2,1,0,3,2,18,11.8,5,Yes,L ,-20,24,26,No,Michigan
555,888,14,14,2019-11-22,DET,ATL,0,4,6,0.667,3,4,0.75,0,0,,0,1,1,2,1,1,1,0,11,10.8,22,Yes,W ,25,17,38,No,Michigan
556,889,15,15,2019-11-23,DET,MIL,0,8,17,0.471,2,5,0.4,2,2,1.0,0,3,3,6,1,0,3,1,20,14.0,5,Yes,L ,-14,26,11,No,Michigan
557,890,16,16,2019-11-25,DET,ORL,0,1,11,0.091,0,4,0.0,0,0,,1,1,2,6,0,1,1,3,2,-1.6,6,Yes,W ,15,20,0,No,Michigan
558,891,17,17,2019-11-27,DET,CHO,0,6,15,0.4,1,4,0.25,0,0,,1,0,1,8,0,0,1,1,13,9.8,4,Yes,L ,-1,25,15,No,Michigan
559,892,18,18,2019-11-29,DET,CHO,0,8,12,0.667,3,4,0.75,4,6,0.667,0,2,2,4,0,0,1,1,23,19.0,-3,Yes,L ,-3,21,52,No,Michigan
560,893,19,19,2019-12-01,DET,SAS,0,3,8,0.375,1,3,0.333,3,3,1.0,0,0,0,10,2,1,3,0,10,12.3,16,Yes,W ,34,18,53,No,Michigan
561,894,20,21,2019-12-03,DET,CLE,0,6,12,0.5,0,2,0.0,0,1,0.0,0,2,2,9,0,0,0,2,12,11.7,23,Yes,W ,33,21,45,No,Michigan
562,895,21,22,2019-12-04,DET,MIL,0,6,15,0.4,0,3,0.0,2,2,1.0,0,2,2,5,1,0,1,0,14,10.0,-8,Yes,L ,-24,25,19,No,Michigan
563,896,22,23,2019-12-06,DET,IND,0,7,17,0.412,0,1,0.0,0,0,,2,4,6,5,1,0,2,0,14,10.0,-3,Yes,W ,7,25,43,No,Michigan
564,897,23,24,2019-12-09,DET,NOP,0,9,17,0.529,1,3,0.333,2,2,1.0,1,1,2,7,0,0,2,1,21,16.2,2,Yes,W ,2,28,22,No,Michigan
